scaffold00001	OTU_0005	24.63	735	427	25	589498	591417	79	781	5e-23	  106
scaffold00003	OTU_0007	25.47	695	436	21	33107	31227	5	685	1e-32	  136
scaffold00008	OTU_0005	26.32	665	365	25	450640	448922	108	739	1e-33	  140
scaffold00009	OTU_0001	24.36	743	467	22	74689	76701	80	799	7e-39	  156
scaffold00010	OTU_0090	26.63	522	323	13	175659	174250	3	516	8e-29	  124
scaffold00011	OTU_0068	28.04	485	292	18	552778	551438	1	466	5e-31	  131
scaffold00014	OTU_0023	28.25	269	177	6	222140	222916	7	269	2e-21	97.1
scaffold00017	OTU_0090	26.39	720	420	24	232543	234462	2	691	8e-40	  159
scaffold00020	OTU_0071	26.72	348	209	8	465227	464304	5	346	6e-26	  111
scaffold00024	OTU_0071	30.66	362	195	14	310152	311105	2	351	2e-24	  106
scaffold00025	OTU_0090	28.52	512	318	16	301077	302519	3	497	9e-30	  126
scaffold00027	OTU_0005	21.88	690	446	21	221157	219328	126	802	1e-20	97.4
scaffold00031	OTU_0062	23.08	507	306	16	99105	100475	3	475	3e-18	89.4
scaffold00035	OTU_0001	26.67	660	402	20	34826	33024	123	759	4e-34	  140
scaffold00043	OTU_0044	24.32	440	266	12	62754	61570	8	425	2e-19	91.3
scaffold00045	OTU_0020	31.98	172	110	3	236553	237047	7	178	4e-12	65.9
scaffold00049	OTU_0062	23.02	504	311	17	312870	311497	3	475	8e-22	  100
scaffold00050	OTU_0062	26.42	530	324	15	79255	80685	1	517	1e-33	  139
scaffold00061	OTU_0102	31.08	251	134	8	253513	252824	7	239	3e-20	92.4
scaffold00071	OTU_0007	25.85	650	396	19	190776	192545	24	647	1e-30	  128
scaffold00076	OTU_0005	24.43	528	305	20	3066	4487	83	570	2e-17	85.9
scaffold00095	OTU_0044	25.29	435	260	14	179352	180524	7	420	3e-19	90.1
scaffold00101	OTU_0005	22.66	653	417	19	208377	206653	129	771	3e-18	88.6
scaffold00113	OTU_0090	26.19	737	429	22	150804	152711	21	743	3e-36	  146
scaffold00136	OTU_0023	29.13	357	194	13	85465	86421	7	342	1e-23	  103
scaffold00147	OTU_0023	32.60	227	140	9	204671	205318	1	225	2e-25	  108
scaffold00156	OTU_0001	28.09	534	307	19	165546	164134	85	604	5e-25	  110
scaffold00158	OTU_0008	25.16	477	278	18	49222	50484	14	467	3e-15	77.4
scaffold00167	OTU_0001	25.41	673	405	21	81783	79963	119	760	1e-30	  128
scaffold00169	OTU_0062	26.23	530	318	14	10415	11833	4	517	2e-30	  127
scaffold00180	OTU_0046	30.67	225	140	7	146745	146101	6	224	7e-17	84.0
scaffold00185	OTU_0071	25.41	366	228	9	115510	116502	2	357	2e-22	98.6
scaffold00196	OTU_0001	22.74	752	482	22	20870	18837	85	811	1e-32	  135
scaffold00200	OTU_0023	30.83	253	159	8	18495	19226	1	246	1e-18	87.0
scaffold00220	OTU_0005	27.14	781	412	32	6003	7955	16	769	3e-42	  165
scaffold00247	OTU_0005	23.81	504	298	20	57463	58806	79	552	2e-14	75.5
scaffold00252	OTU_0001	26.91	680	390	24	71893	73725	118	759	5e-38	  152
scaffold00253	OTU_0062	31.40	258	146	13	2765	2046	5	249	3e-19	91.3
scaffold00262	OTU_0005	26.74	688	413	25	76648	78489	131	801	3e-38	  152
scaffold00265	OTU_0007	22.34	546	336	22	94719	96176	159	676	8e-14	73.2
scaffold00289	OTU_0090	25.36	698	431	20	91239	93089	3	691	1e-37	  150
