scaffold00006	OTU_0317	42.48	113	64	1	201673	202008	25	137	7e-18	87.0
scaffold00008	OTU_0317	34.57	162	96	3	74947	74474	28	183	1e-17	85.9
scaffold00011	OTU_0269	95.88	267	0	3	65361	66161	1	256	6e-161	  502
scaffold00015	OTU_0527	35.33	184	95	5	4959	5459	19	195	1e-19	92.8
scaffold00018	OTU_0004	35.58	104	58	3	227362	227646	18	121	2e-11	66.2
scaffold00043	OTU_0317	36.51	126	79	1	8910	9284	27	152	2e-13	72.0
scaffold00049	OTU_0030	38.14	118	66	2	113838	114185	31	143	7e-14	73.2
scaffold00051	OTU_1593	33.86	127	79	2	96173	96550	30	152	3e-11	65.5
scaffold00076	OTU_1305	41.98	131	67	1	35210	34845	40	170	6e-18	86.7
scaffold00097	OTU_1572	34.72	144	85	3	102494	102898	40	183	2e-17	84.0
scaffold00111	OTU_1376	45.19	104	53	2	28870	29175	15	116	8e-16	78.6
scaffold00114	OTU_0584	39.69	131	74	4	22091	22480	29	155	1e-14	75.5
scaffold00119	OTU_0336	35.29	119	72	2	32091	31744	26	142	3e-12	67.8
scaffold00147	OTU_0874	36.52	115	73	0	76072	76416	12	126	4e-14	73.2
scaffold00157	OTU_0004	38.10	84	52	0	76167	75916	45	128	3e-12	67.0
scaffold00159	OTU_0310	32.26	155	91	6	60967	61404	27	176	1e-11	65.5
scaffold00164	OTU_0317	37.61	109	62	3	69957	70265	35	143	1e-12	68.6
scaffold00172	OTU_0060	95.11	266	0	4	10299	11096	1	253	2e-142	  447
scaffold00173	OTU_0685	37.93	116	66	3	8482	8153	28	143	4e-16	79.3
scaffold00211	OTU_1569	32.24	183	85	6	61856	62305	51	227	1e-13	72.0
scaffold00247	OTU_1629	38.53	109	67	0	59893	59567	27	135	1e-15	77.8
scaffold00276	OTU_0317	39.83	118	68	1	42674	43018	31	148	1e-17	83.6
scaffold00292	OTU_0015	36.00	175	100	6	56998	57495	9	180	2e-15	77.4
scaffold00311	OTU_1629	38.22	157	78	7	49009	49446	29	177	4e-15	75.9
scaffold00359	OTU_0989	44.04	109	52	3	5043	5342	13	121	1e-15	77.0
scaffold00375	OTU_0031	33.77	151	85	7	7406	6978	37	180	1e-12	68.6
scaffold00435	OTU_0364	30.27	185	120	4	19677	19138	22	202	7e-13	68.9
scaffold00444	OTU_1274	36.21	116	69	2	42280	41942	10	123	1e-13	70.5
scaffold00465	OTU_0714	36.84	152	86	2	10290	10715	4	155	4e-19	87.8
scaffold00502	OTU_0055	75.51	49	11	1	11116	10970	8	55	1e-13	71.6
scaffold00517	OTU_0519	37.11	159	80	8	6195	5752	29	178	5e-15	75.1
scaffold00520	OTU_0453	33.33	153	88	6	15474	15899	66	215	8e-14	71.6
scaffold00533	OTU_0543	39.62	106	64	0	3326	3009	70	175	3e-15	76.6
scaffold00557	OTU_0867	35.85	106	66	2	27650	27336	35	139	8e-12	65.1
scaffold00594	OTU_1649	94.40	268	2	4	15554	14751	1	255	2e-156	  486
scaffold00634	OTU_0318	70.81	161	46	1	32311	32793	9	168	6e-67	  226
scaffold00638	OTU_0888	31.67	180	104	6	29710	29192	58	225	9e-11	62.4
scaffold00643	OTU_0317	34.59	133	77	3	35394	35765	5	136	2e-11	63.9
scaffold00656	OTU_0317	30.37	135	91	2	14149	13754	26	160	4e-11	62.8
scaffold00682	OTU_0519	40.74	135	69	4	28852	29223	2	136	5e-20	90.1
scaffold00712	OTU_0685	37.61	117	69	3	17823	17476	29	142	2e-14	72.8
scaffold00733	OTU_0488	31.91	141	84	2	28750	28328	10	138	4e-13	68.9
scaffold00738	OTU_0317	33.33	144	89	2	15351	14923	32	169	8e-14	71.2
scaffold00756	OTU_0867	36.02	161	95	4	30589	30107	31	183	4e-14	72.0
scaffold00786	OTU_0317	36.23	138	84	3	12114	12521	28	163	2e-14	73.2
scaffold00816	OTU_1572	33.54	164	92	3	14235	13759	31	182	9e-15	73.9
scaffold00850	OTU_1480	93.98	266	5	3	4186	4983	1	255	6e-148	  462
scaffold00873	OTU_0519	35.20	125	76	3	8574	8215	35	159	5e-11	62.4
scaffold00909	OTU_1435	59.38	160	65	0	21780	21301	1	160	6e-46	  164
scaffold00938	OTU_0380	29.94	157	101	6	3579	3115	74	223	9e-11	62.0
scaffold00986	OTU_1637	34.39	157	97	3	20849	20391	35	189	5e-18	84.0
scaffold01057	OTU_0532	38.68	106	63	2	9561	9875	41	145	1e-14	73.6
scaffold01088	OTU_0410	41.67	108	54	4	23375	23674	30	136	7e-11	61.6
scaffold01118	OTU_0527	33.70	184	98	5	23326	22826	19	195	2e-18	85.5
scaffold01121	OTU_1091	40.00	110	63	3	2388	2068	28	137	2e-16	78.6
scaffold01143	OTU_0171	38.31	154	87	4	694	254	26	178	1e-19	88.6
scaffold01158	OTU_1021	99.47	188	0	1	18487	19050	1	187	3e-116	  368
scaffold01199	OTU_1463	31.33	166	95	4	19000	19458	27	186	8e-12	64.7
scaffold01243	OTU_1559	33.71	175	107	3	7765	7241	7	172	3e-14	72.4
scaffold01260	OTU_0658	32.50	120	78	2	22316	22669	3	121	9e-12	64.3
scaffold01297	OTU_1004	42.06	126	63	5	5933	6289	35	157	2e-13	69.3
scaffold01311	OTU_0145	32.93	167	99	3	13427	13897	49	212	6e-14	71.6
scaffold01329	OTU_0087	36.00	125	79	1	24117	23743	40	163	4e-19	86.3
scaffold01346	OTU_1051	33.33	114	70	4	13696	14034	17	125	6e-11	61.6
scaffold01358	OTU_0410	41.03	117	62	2	22572	22228	23	134	4e-17	80.9
