	OTU_001	OTU_002	OTU_003	OTU_004	OTU_005	OTU_006	OTU_007	OTU_008	OTU_009	OTU_010	OTU_011	OTU_012	OTU_013	OTU_014	OTU_015	OTU_016	OTU_017	OTU_018	OTU_019	OTU_020	OTU_021	OTU_022	OTU_023	OTU_024	OTU_025	OTU_026	OTU_027	OTU_028	OTU_029	OTU_030	OTU_031	OTU_032	OTU_033	OTU_034	OTU_035	OTU_036	OTU_037	OTU_038	OTU_039	OTU_040	OTU_041	OTU_042	OTU_043	OTU_044	OTU_045	OTU_046	OTU_047	OTU_048	OTU_049	OTU_050	OTU_051	OTU_052	OTU_053	OTU_054	OTU_055	OTU_056	OTU_057	OTU_058	OTU_059	OTU_060	OTU_061	OTU_062	OTU_063	OTU_064	OTU_065	OTU_066	OTU_067	OTU_068	OTU_069	OTU_070	OTU_071	OTU_072	OTU_073	OTU_074	OTU_075	OTU_076	OTU_077	OTU_078	OTU_079	OTU_080	OTU_081	OTU_082	OTU_083	OTU_084	OTU_085	OTU_086	OTU_087	OTU_088	OTU_089	OTU_090	OTU_091	OTU_092	OTU_093	OTU_094	OTU_095	OTU_096	OTU_097	OTU_098	OTU_099	OTU_100	OTU_101	OTU_102	OTU_103	OTU_104	OTU_105	OTU_106	OTU_107	OTU_108	OTU_109	OTU_110	OTU_111	OTU_112	OTU_113	OTU_114	OTU_115	OTU_116	OTU_117	OTU_118	OTU_119	OTU_120	OTU_121	OTU_122	OTU_123	OTU_124	OTU_125	OTU_126	OTU_127	OTU_128	OTU_129	OTU_130	OTU_131	OTU_132	OTU_133	OTU_134	OTU_135	OTU_136	OTU_137	OTU_138	OTU_139	OTU_140	OTU_141	OTU_142	OTU_143	OTU_144	OTU_145	OTU_146	OTU_147	OTU_148	OTU_149	OTU_150	OTU_151	OTU_152	OTU_153	OTU_154	OTU_155	OTU_156	OTU_157	OTU_158	OTU_159	OTU_160	OTU_161	OTU_162	OTU_163	OTU_164	OTU_165	OTU_166	OTU_167	OTU_168	OTU_169	OTU_170	OTU_171	OTU_172	OTU_173	OTU_174	OTU_175	OTU_176	OTU_177	OTU_178	OTU_179	OTU_180	OTU_181	OTU_182	OTU_183	OTU_184	OTU_185	OTU_186	OTU_187	OTU_188	OTU_189	OTU_190	OTU_191	OTU_192	OTU_193	OTU_194	OTU_195	OTU_196	OTU_197	OTU_198	OTU_199	OTU_200	OTU_201	OTU_202	OTU_203	OTU_204	OTU_205	OTU_206	OTU_207	OTU_208	OTU_209	OTU_210	OTU_211	OTU_212	OTU_213	OTU_214	OTU_215	OTU_216	OTU_217	OTU_218	OTU_219	OTU_220	OTU_221	OTU_222	OTU_223	OTU_224	OTU_225	OTU_226	OTU_227	OTU_228	OTU_229	OTU_230	OTU_231	OTU_232	OTU_233	OTU_234	OTU_235	OTU_236	OTU_237	OTU_238	OTU_239	OTU_240	OTU_241	OTU_242	OTU_243	OTU_244	OTU_245	OTU_246	OTU_247	OTU_248	OTU_249	OTU_250	OTU_251	OTU_252	OTU_253	OTU_254	OTU_255	OTU_256	OTU_257	OTU_258	OTU_259	OTU_260	OTU_261	OTU_262	OTU_263	OTU_264	OTU_265	OTU_266	OTU_267	OTU_268	OTU_269	OTU_270	OTU_271	OTU_272	OTU_273	OTU_274	OTU_275	OTU_276	OTU_277	OTU_278	OTU_279	OTU_280	OTU_281	OTU_282	OTU_283	OTU_284	OTU_285	OTU_286	OTU_287	OTU_288	OTU_289	OTU_290	OTU_291	OTU_292	OTU_293	OTU_294	OTU_295	OTU_296	OTU_297	OTU_298	OTU_299	OTU_300	OTU_301	OTU_302	OTU_303	OTU_304	OTU_305	OTU_306	OTU_307	OTU_308	OTU_309	OTU_310	OTU_311	OTU_312	OTU_313	OTU_314	OTU_315	OTU_316	OTU_317	OTU_318	OTU_319	OTU_320	OTU_321	OTU_322	OTU_323	OTU_324	OTU_325	OTU_326	OTU_327	OTU_328	OTU_329	OTU_330	OTU_331	OTU_332	OTU_333	OTU_334	OTU_335	OTU_336	OTU_337	OTU_338	OTU_339	OTU_340	OTU_341	OTU_342	OTU_343	OTU_344	OTU_345	OTU_346	OTU_347	OTU_348	OTU_349	OTU_350	OTU_351	OTU_352	OTU_353	OTU_354	OTU_355	OTU_356	OTU_357	OTU_358	OTU_359	OTU_360	OTU_361	OTU_362	OTU_363	OTU_364	OTU_365	OTU_366	OTU_367	OTU_368	OTU_369	OTU_370	OTU_371	OTU_372	OTU_373	OTU_374	OTU_375	OTU_376	OTU_377	OTU_378	OTU_379	OTU_380	OTU_381	OTU_382	OTU_383	OTU_384	OTU_385	OTU_386	OTU_387	OTU_388	OTU_389	OTU_390	OTU_391	OTU_392	OTU_393	OTU_394	OTU_395	OTU_396	OTU_397 
Cen17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cen15	0	2	0	0	36	0	0	0	0	4	0	7	0	0	0	0	0	0	5	0	21	0	0	0	0	0	0	0	0	5	0	0	1	5	0	0	0	0	0	0	0	0	3	0	10	0	0	14	0	44	0	0	0	0	0	3	0	110	15	0	0	0	0	0	3	26	0	0	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	18	0	0	0	4	0	26	0	0	0	0	22	4	16	5	0	0	0	2	0	0	0	0	0	0	0	0	52	0	0	0	0	3	5	0	9	0	3	0	61	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cen16	0	0	0	0	9	0	51	0	0	10	15	14	3	0	126	4	0	0	13	6	5	0	0	0	0	0	0	0	0	7	0	0	4	0	8	9	1	5	0	0	0	0	0	0	22	47	219	24	0	0	0	0	0	0	6	7	0	0	0	7	0	1	0	0	2	28	0	11	0	0	0	0	0	2	0	0	0	3	4	8	0	0	28	0	0	14	0	2	0	1	0	0	63	8	3	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	13	0	0	0	0	31	1	0	0	1	2	0	0	25	0	0	6	0	0	0	0	5	0	25	0	0	2	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	1	6	0	0	5	0	0	0	0	0	0	3	0	0	2	39	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	4	0	0	0	2	0	0	0	0	0	14	0	0	0	11	34	11	0	0	0	0	0	0	4	0	0	0	2	6	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	30	0	0	0	0	0	2	0	1	4	0	2	2	0	2	0	5	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	5	0	0	4	0	0	0	0	0	0	38	0	0	0	0	0	0	0
Cen04	4	0	5	2	0	0	0	0	0	0	0	0	0	18	0	0	0	3	0	0	0	2	0	5	0	39	18	0	0	0	2	0	7	0	0	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	4	25	0	0	3	0	0	4	0	0	0	4	4	0	0	4	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	5	0	0	0	4	0	2	6	0	0	0	6	0	0	0	0	0	6	0	0	0	2	0	3	4	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	24	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	3	1	0	0	13	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	6	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	2	22	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
Cen05	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	14	0	0	0	2	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	2	0	2	0	3	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	11	0	0	0	0	4	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	3	2	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Cen06	0	0	3	0	23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	2	9	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	13	0	0	0	0	0	0	246	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0
Cen07	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	3	0	0	0	0	0	24	0	0	10	0	1	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Cen01	29	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	17	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	3	0	0	0	3	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	5	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Cen10	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	5	0	0	0	5	0	0	62	46	0	0	0	0	0	0	0	0	0	0	20	0	2	0	106	5	0	0	0	0	0	0	0	0	0	0	0	13	0	18	0	0	0	2	0	7	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	17	15	0	16	51	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	32	0	0	0	197	0	0	0	4	0	0	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	11	0	0	7	0	0	0	0	0	5	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	5	45	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	9	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	3	0	7	0	37	3	0	0	0	0	0	0	3	2	0	3	3	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	5	0	0	5	0	0	7	4	0	0	5	0	0	0	0	0	38	0	0	0	0	0	2	3	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	8	15	0	0	0	0	4	0	0	0	0
Cen03	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	3	5	1	0	0	0	0	2	0	0	0	3	0	6	0	0	0	0	0	0	3	0	3	0	0	0	2	0	0	1	0	5	2	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	3	0	0	0	34	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
