"db" "query" "genus" "order" "family" "class" "phylum" "Organism"
"ncbi" "Gloeocapsa sp. PCC 7428" "Gloeocapsa" "Chroococcales" "Chroococcaceae" NA "Cyanobacteria" "Gloeocapsa sp. PCC 7428"
"ncbi" "Ktedonobacter racemifer DSM 44963" "Ktedonobacter" "Ktedonobacterales" "Ktedonobacteraceae" "Ktedonobacteria" "Chloroflexi" "Ktedonobacter racemifer DSM 44963"
"ncbi" "uncultured soil bacterium" NA NA NA NA NA "uncultured soil bacterium"
"ncbi" "uncultured soil bacterium" NA NA NA NA NA "uncultured soil bacterium"
"ncbi" "Gloeocapsa sp. PCC 7428" "Gloeocapsa" "Chroococcales" "Chroococcaceae" NA "Cyanobacteria" "Gloeocapsa sp. PCC 7428"
"ncbi" "uncultured soil bacterium" NA NA NA NA NA "uncultured soil bacterium"
"ncbi" "uncultured soil bacterium" NA NA NA NA NA "uncultured soil bacterium"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriales" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 59-55"
"ncbi" "Nitrospirae bacterium 13_1_40CM_4_62_6" NA NA NA NA "Nitrospirae" "Nitrospirae bacterium 13_1_40CM_4_62_6"
"ncbi" "Anaerolineae bacterium CG2_30_64_16" NA NA NA "Anaerolineae" "Chloroflexi" "Anaerolineae bacterium CG2_30_64_16"
"ncbi" "Desulfonauticus sp. 38_4375" "Desulfonauticus" "Desulfovibrionales" "Desulfohalobiaceae" "Deltaproteobacteria" "Proteobacteria" "Desulfonauticus sp. 38_4375"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21"
"ncbi" "Hassallia byssoidea VB512170" "Hassallia" "Nostocales" "Tolypothrichaceae" NA "Cyanobacteria" "Hassallia byssoidea VB512170"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Isosphaera pallida ATCC 43644" "Isosphaera" "Planctomycetales" "Isosphaeraceae" "Planctomycetia" "Planctomycetes" "Isosphaera pallida ATCC 43644"
"ncbi" "Planctomycetes bacterium GWF2_50_10" NA NA NA NA "Planctomycetes" "Planctomycetes bacterium GWF2_50_10"
"ncbi" "Anaerolineae bacterium CG2_30_64_16" NA NA NA "Anaerolineae" "Chloroflexi" "Anaerolineae bacterium CG2_30_64_16"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Ignavibacteria bacterium RIFCSPLOWO2_12_FULL_56_21" NA NA NA "Ignavibacteria" "Ignavibacteriae" "Ignavibacteria bacterium RIFCSPLOWO2_12_FULL_56_21"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Myxococcales" "Anaeromyxobacteraceae" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Chloroflexi bacterium RBG_13_66_10" NA NA NA NA "Chloroflexi" "Chloroflexi bacterium RBG_13_66_10"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Myxococcales" "Anaeromyxobacteraceae" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Sorangium cellulosum" "Sorangium" "Myxococcales" "Polyangiaceae" "Deltaproteobacteria" "Proteobacteria" "Sorangium cellulosum"
"ncbi" "Acidobacteria bacterium SCN 69-37" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium SCN 69-37"
"ncbi" "Planctomycetales bacterium 71-10" NA "Planctomycetales" NA "Planctomycetia" "Planctomycetes" "Planctomycetales bacterium 71-10"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28" NA NA NA NA "Acidobacteria" "Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28"
"ncbi" "Planctomycetes bacterium GWF2_50_10" NA NA NA NA "Planctomycetes" "Planctomycetes bacterium GWF2_50_10"
"ncbi" "Planctomycetes bacterium GWF2_50_10" NA NA NA NA "Planctomycetes" "Planctomycetes bacterium GWF2_50_10"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Planctomycetes bacterium GWF2_50_10" NA NA NA NA "Planctomycetes" "Planctomycetes bacterium GWF2_50_10"
"ncbi" "Nitrospirae bacterium 13_1_40CM_4_62_6" NA NA NA NA "Nitrospirae" "Nitrospirae bacterium 13_1_40CM_4_62_6"
"ncbi" "Verrucomicrobia bacterium SCN 57-15" NA NA NA NA "Verrucomicrobia" "Verrucomicrobia bacterium SCN 57-15"
"ncbi" "Rhodothermaceae bacterium RA" NA "Bacteroidetes Order II. Incertae sedis" "Rhodothermaceae" NA "Bacteroidetes" "Rhodothermaceae bacterium RA"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA NA NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10" NA NA NA NA "Candidatus Handelsmanbacteria" "Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10"
"ncbi" "Anaerolineae bacterium CG2_30_64_16" NA NA NA "Anaerolineae" "Chloroflexi" "Anaerolineae bacterium CG2_30_64_16"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriales" "Acidobacteriaceae" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Lactococcus lactis subsp. lactis" "Lactococcus" "Lactobacillales" "Streptococcaceae" "Bacilli" "Firmicutes" "Lactococcus lactis subsp. lactis"
