"Site" "As_ppm" "Temp" "Classification" "organism" "Abundance" "Fraction.Abundance" "GE" "rplB" "Normalized.Abundance.census" "Normalized.Abundance.rplB" "Gene" "Type"
"Cen01" 2.63 14.1 "Recovered" "Roseomonas cervicalis ATCC 49957" 4.928 0.2369 3469.8686759 1144.758 0.00142022665993888 0.00430483997491173 "aioA" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bradyrhizobium sp. LMTR 3" 5.733 0.2756 3469.8686759 1144.758 0.00165222391262776 0.00500804536854078 "aioA" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Mesorhizobium muleiense" 1.262 0.0607 3469.8686759 1144.758 0.000363702525333374 0.00110241640591287 "aioA" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Chelatococcus sambhunathii" 4.082 0.1962 3469.8686759 1144.758 0.00117641339810684 0.00356581915129661 "aioA" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bradyrhizobium sp. BR 10245" 2.078 0.0999 3469.8686759 1144.758 0.00059886992681676 0.00181523081734305 "aioA" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bradyrhizobium sp. NAS96.2" 2.717 0.1306 3469.8686759 1144.758 0.000783026752243088 0.00237342739688214 "aioA" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Agrobacterium sp. D14" 2.398 0.1701 4316.23308354 1348.369 0.000555577039883411 0.00177844492123447 "aioA" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Nitrobacter hamburgensis X14" 1.561 0.1107 4316.23308354 1348.369 0.000361657947980819 0.00115769496332235 "aioA" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Hyphomicrobium sp. SCN 65-11" 2.658 0.1885 4316.23308354 1348.369 0.000615814750629736 0.00197127047566356 "aioA" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Tardiphaga sp. Vaf07" 2.289 0.1624 4316.23308354 1348.369 0.000530323538070529 0.00169760651572381 "aioA" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Mesorhizobium alhagi CCNWXJ12-2" 1.739 0.1234 4316.23308354 1348.369 0.000402897611491765 0.0012897063044315 "aioA" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Microvirga sp. V5/3M" 1.397 0.0991 4316.23308354 1348.369 0.000323661853510061 0.00103606653668247 "aioA" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Oceanibaculum indicum P24" 2.056 0.1458 4316.23308354 1348.369 0.000476341281901707 0.00152480515348543 "aioA" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Cupriavidus sp. IDO" 0.734 0.0292 4092.17106536 976.976 0.000179366890649628 0.000751297882445423 "aioA" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Bradyrhizobium sp. LMTR 3" 1.468 0.0585 4092.17106536 976.976 0.000358733781299257 0.00150259576489085 "aioA" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Burkholderia multivorans ATCC 17616" 2.012 0.0801 4092.17106536 976.976 0.000491670550391079 0.00205941599384222 "aioA" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Sinorhizobium sp. GL28" 1.937 0.0772 4092.17106536 976.976 0.000473342870828787 0.00198264849904194 "aioA" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Chelatococcus sambhunathii" 2.659 0.1059 4092.17106536 976.976 0.000649777332748449 0.00272166358231932 "aioA" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Bradyrhizobium sp. BR 10245" 3.745 0.1492 4092.17106536 976.976 0.000915162132810433 0.0038332569070274 "aioA" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Microvirga guangxiensis" 2.05 0.0817 4092.17106536 976.976 0.00050095657470264 0.00209831152454103 "aioA" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Scytonema tolypothrichoides VB-61278" 5.426 0.2161 4092.17106536 976.976 0.0013259465240666 0.00555387235715105 "aioA" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Burkholderia arationis" 5.075 0.2021 4092.17106536 976.976 0.00124017298371507 0.00519460048148573 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Nitrobacter hamburgensis X14" 3.326 0.0584 4046.64987597 1152.584 0.000821914448232995 0.00288568989331797 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Roseomonas cervicalis ATCC 49957" 4.874 0.0856 4046.64987597 1152.584 0.00120445310303296 0.00422875903187967 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Mesorhizobium alhagi CCNWXJ12-2" 1.953 0.0343 4046.64987597 1152.584 0.000482621442392976 0.00169445350620866 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Methylobacterium sp. SCN 67-24" 3.621 0.0636 4046.64987597 1152.584 0.000894814256479758 0.00314163653148057 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Chelatococcus sp. CO-6" 5.933 0.1041 4046.64987597 1152.584 0.00146615105873913 0.00514756408209727 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Xanthobacter autotrophicus Py2" 5.16 0.0906 4046.64987597 1152.584 0.00127512884933321 0.004476897128539 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Bradyrhizobium sp. LMTR 3" 5.127 0.09 4046.64987597 1152.584 0.00126697395552933 0.0044482658096937 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Kaistia sp. SCN 65-12" 1.609 0.0282 4046.64987597 1152.584 0.000397612852437429 0.00139599369763939 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Agrobacterium sp. GW4" 5.531 0.0971 4046.64987597 1152.584 0.00136680962512829 0.00479878256161807 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Bradyrhizobium sp. BR 10245" 2.149 0.0377 4046.64987597 1152.584 0.000531056569228114 0.00186450618783533 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Bradyrhizobium sp. NAS96.2" 3.506 0.0615 4046.64987597 1152.584 0.000866395687163223 0.00304186072338329 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Bosea sp. WAO" 1.839 0.0323 4046.64987597 1152.584 0.000454449991070498 0.00159554531383396 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Devosia sp. 67-54" 2.324 0.0408 4046.64987597 1152.584 0.000574302218188058 0.00201633893928772 "aioA" "AsRG"
"Cen05" 1.75 14 "Recovered" "Bosea sp. DSM 18164" 10.015 0.1758 4046.64987597 1152.584 0.00247488671047909 0.00868917146168956 "aioA" "AsRG"
"Cen06" 2.05 24.1 "FireAffected" "Agrobacterium sp. D14" 2.541 0.1925 3685.18110843 1263.788 0.000689518350722943 0.00201062203470835 "aioA" "AsRG"
"Cen06" 2.05 24.1 "FireAffected" "Roseomonas cervicalis ATCC 49957" 3.397 0.2574 3685.18110843 1263.788 0.000921800014720912 0.0026879508271957 "aioA" "AsRG"
"Cen06" 2.05 24.1 "FireAffected" "Bradyrhizobium sp. LMTR 3" 4.502 0.3411 3685.18110843 1263.788 0.00122164959266222 0.0035623063361893 "aioA" "AsRG"
"Cen06" 2.05 24.1 "FireAffected" "Devosia sp. 67-54" 2.757 0.2089 3685.18110843 1263.788 0.000748131480890655 0.00218153677673787 "aioA" "AsRG"
"Cen07" 5.56 13.5 "Recovered" "Hyphomicrobium sp. SCN 65-11" 2.745 0.1536 3584.52000331 1131.214 0.000765792908803752 0.00242659655909492 "aioA" "AsRG"
"Cen07" 5.56 13.5 "Recovered" "Bradyrhizobium sp. LMTR 3" 9.468 0.5298 3584.52000331 1131.214 0.00264135783626737 0.00836976911530444 "aioA" "AsRG"
"Cen07" 5.56 13.5 "Recovered" "Mesorhizobium alhagi CCNWXJ12-2" 2.443 0.1367 3584.52000331 1131.214 0.000681541739966327 0.00215962673729286 "aioA" "AsRG"
"Cen07" 5.56 13.5 "Recovered" "Bradyrhizobium sp. NAS96.2" 3.215 0.1799 3584.52000331 1131.214 0.000896912277524249 0.00284207939434979 "aioA" "AsRG"
"Cen10" 3.79 54.2 "FireAffected" "Roseomonas cervicalis ATCC 49957" 9.968 0.4248 8744.20282296 3046.969 0.00113995525970951 0.00327144778959024 "aioA" "AsRG"
"Cen10" 3.79 54.2 "FireAffected" "Bradyrhizobium sp. LMTR 3" 8.38 0.3571 8744.20282296 3046.969 0.000958349225157072 0.00275027412487623 "aioA" "AsRG"
"Cen10" 3.79 54.2 "FireAffected" "Bradyrhizobium sp. BR 10245" 5.117 0.2181 8744.20282296 3046.969 0.000585187707055935 0.00167937383018994 "aioA" "AsRG"
"Cen12" 3.9 32 "FireAffected" "Oceanibaculum" 2.803 1 4587.09343394 2257.732 0.0006110623296357 0.00124151139284911 "aioA" "AsRG"
"Cen14" 2.97 34.1 "FireAffected" "NA" 0 0 5243.06565384 1974.542 0 0 "aioA" "AsRG"
"Cen15" 2.25 38.9 "FireAffected" "NA" 0 0 4002.74163817 1655.054 0 0 "aioA" "AsRG"
"Cen16" 3.57 21.7 "FireAffected" "Hyphomicrobium sp. SCN 65-11" 30.4 0.6265 9317.34604734 4004.868 0.00326273166688693 0.00759076204259416 "aioA" "AsRG"
"Cen16" 3.57 21.7 "FireAffected" "Bradyrhizobium sp. LMTR 3" 16.324 0.3364 9317.34604734 4004.868 0.00175200104375863 0.00407603945997721 "aioA" "AsRG"
"Cen16" 3.57 21.7 "FireAffected" "Mesorhizobium alhagi CCNWXJ12-2" 1.8 0.0371 9317.34604734 4004.868 0.000193188059223568 0.000449453015679918 "aioA" "AsRG"
"Cen17" 1.99 12.1 "Reference" "Nitrobacter hamburgensis X14" 1.768 0.5359 3867.44839599 699.272 0.000457148956876365 0.00252834376322804 "aioA" "AsRG"
"Cen17" 1.99 12.1 "Reference" "Bradyrhizobium sp. BR 10245" 1.531 0.4641 3867.44839599 699.272 0.000395868242634454 0.0021894198537908 "aioA" "AsRG"
