"Site" "As_ppm" "Temp" "Classification" "organism" "Abundance" "Fraction.Abundance" "GE" "rplB" "Normalized.Abundance.census" "Normalized.Abundance.rplB" "Gene" "Type"
"Cen01" 2.63 14.1 "Recovered" "Hyphomicrobium denitrificans ATCC 51888" 1.372 0.0058 3469.8686759 1144.758 0.000395404013278438 0.00119850658392429 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Afipia sp. P52-10" 3.634 0.0155 3469.8686759 1144.758 0.00104730188356694 0.00317447006266827 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Rhizobium sp. CF080" 2.959 0.0126 3469.8686759 1144.758 0.000852770025722229 0.00258482578850727 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bradyrhizobium lablabi" 4.841 0.0206 3469.8686759 1144.758 0.00139515366492778 0.00422884137957542 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Pseudomonas batumici" 1.63 0.0069 3469.8686759 1144.758 0.000469758412276862 0.00142388172871472 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Burkholderia sp. GAS332" 2.813 0.012 3469.8686759 1144.758 0.00081069350535878 0.00245728791587392 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Magnetospirillum magneticum AMB-1" 2.894 0.0123 3469.8686759 1144.758 0.000834037328300146 0.00252804522877324 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Shewanella xiamenensis" 1.5 0.0064 3469.8686759 1144.758 0.000432293017432695 0.00131032060924667 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Phenylobacterium zucineum HLK1" 27.293 0.1163 3469.8686759 1144.758 0.00786571554986036 0.0238417202587796 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Paracoccus versutus" 2.953 0.0126 3469.8686759 1144.758 0.000851040853652498 0.00257958450607028 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Rhizobium multihospitium" 1.6 0.0068 3469.8686759 1144.758 0.000461112551928208 0.00139767531652978 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Beijerinckia sp. 28-YEA-48" 1.446 0.0062 3469.8686759 1144.758 0.000416730468805118 0.00126314906731379 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bradyrhizobium sp. cf659" 1.37 0.0058 3469.8686759 1144.758 0.000394827622588528 0.00119675948977863 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Acetobacter pasteurianus" 1.053 0.0045 3469.8686759 1144.758 0.000303469698237752 0.000919845067691163 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Rhodopseudomonas palustris BisB18" 1 0.0043 3469.8686759 1144.758 0.00028819534495513 0.000873547072831114 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Pseudomonas jinjuensis" 1.034 0.0044 3469.8686759 1144.758 0.000297993986683604 0.000903247673307371 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Microvirga sp. BSC39" 1.384 0.0059 3469.8686759 1144.758 0.0003988623574179 0.00120898914879826 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Sphingomonas sp. WHSC-8" 8.767 0.0374 3469.8686759 1144.758 0.00252660858922162 0.00765838718751037 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Burkholderia multivorans ATCC 17616" 1.248 0.0053 3469.8686759 1144.758 0.000359667790504002 0.00109018674689323 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Mycobacterium sp. ST-F2" 2.359 0.0101 3469.8686759 1144.758 0.000679852818749151 0.0020606975448086 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Acetobacteraceae bacterium AT-5844" 1.812 0.0077 3469.8686759 1144.758 0.000522209965058695 0.00158286729596998 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Microvirga guangxiensis" 9.124 0.0389 3469.8686759 1144.758 0.0026294943273706 0.00797024349251108 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Rhodospirillales bacterium 69-11" 1.475 0.0063 3469.8686759 1144.758 0.000425088133808817 0.00128848193242589 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Phenylobacterium zucineum HLK1" 1.148 0.0049 3469.8686759 1144.758 0.000330848256008489 0.00100283203961012 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bordetella bronchiseptica OSU054" 3.543 0.0151 3469.8686759 1144.758 0.00102107610717603 0.00309497727904064 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Burkholderia sp. ST111" 1.895 0.0081 3469.8686759 1144.758 0.000546130178689971 0.00165537170301496 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Burkholderia megalochromosomata" 1.104 0.0047 3469.8686759 1144.758 0.000318167660830463 0.000964395968405549 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Cedecea neteri" 5.644 0.0241 3469.8686759 1144.758 0.00162657452692675 0.00493029967905881 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Azotobacter vinelandii DJ" 1.112 0.0047 3469.8686759 1144.758 0.000320473223590104 0.000971384344988198 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bradyrhizobium erythrophlei" 3.941 0.0168 3469.8686759 1144.758 0.00113577785446817 0.00344264901402742 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bordetella hinzii 1277" 1.526 0.0065 3469.8686759 1144.758 0.000439786096401528 0.00133303283314028 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Pantoea stewartii subsp. stewartii DC283" 4.533 0.0193 3469.8686759 1144.758 0.0013063894986816 0.00395978888114344 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Phenylobacterium sp. SCN 70-31" 9.776 0.0417 3469.8686759 1144.758 0.00281739769228135 0.00853979618399697 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Polaromonas sp. JS666" 4.129 0.0176 3469.8686759 1144.758 0.00118995857931973 0.00360687586371967 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Rhodospirillales bacterium 69-11" 1.034 0.0044 3469.8686759 1144.758 0.000297993986683604 0.000903247673307371 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Sinorhizobium sp. GL2" 1.843 0.0079 3469.8686759 1144.758 0.000531144020752304 0.00160994725522774 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Rhodopseudomonas palustris" 1.463 0.0062 3469.8686759 1144.758 0.000421629789669355 0.00127799936755192 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Roseomonas rosea" 1.05 0.0045 3469.8686759 1144.758 0.000302605112202886 0.000917224426472669 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Mesorhizobium alhagi CCNWXJ12-2" 1.501 0.0064 3469.8686759 1144.758 0.00043258121277765 0.0013111941563195 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Xanthobacter autotrophicus Py2" 2.393 0.0102 3469.8686759 1144.758 0.000689651460477626 0.00209039814528485 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Pseudorhodoferax sp. Leaf265" 1.617 0.0069 3469.8686759 1144.758 0.000466011872792445 0.00141252561676791 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Burkholderia fungorum" 7.688 0.0328 3469.8686759 1144.758 0.00221564581201504 0.0067158298959256 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bordetella holmesii ATCC 51541" 1.238 0.0053 3469.8686759 1144.758 0.000356785837054451 0.00108145127616492 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Bradyrhizobium sp. cf659" 1.543 0.0066 3469.8686759 1144.758 0.000444685417265765 0.00134788313337841 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Phenylobacterium sp. SCN 70-31" 11.401 0.0486 3469.8686759 1144.758 0.00328571512783344 0.00995931017734753 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Phenylobacterium sp. RIFCSPHIGHO2_01_FULL_69_31" 3.141 0.0134 3469.8686759 1144.758 0.000905221578504063 0.00274381135576253 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Paracoccus yeei" 1.012 0.0043 3469.8686759 1144.758 0.000291653689094591 0.000884029637705087 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Comamonas thiooxydans" 5.158 0.022 3469.8686759 1144.758 0.00148651158927856 0.00450575580166288 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Gluconacetobacter rhaeticus AF1" 2.607 0.0111 3469.8686759 1144.758 0.000751325264298024 0.00227733721887071 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Alphaproteobacteria bacterium 13_1_20CM_3_64_12" 2.479 0.0106 3469.8686759 1144.758 0.000714436260143767 0.00216552319354833 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Mesorhizobium sp. ORS3324" 1.927 0.0082 3469.8686759 1144.758 0.000555352429728535 0.00168332520934556 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Achromobacter xylosoxidans" 1.638 0.007 3469.8686759 1144.758 0.000472063975036503 0.00143087010529736 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Sphingomonas sp. Root710" 1.297 0.0055 3469.8686759 1144.758 0.000373789362406803 0.00113299055346195 "arsC_glut" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Acetobacter malorum" 1.029 0.0044 3469.8686759 1144.758 0.000296553009958829 0.000898879937943216 "arsC_glut" "AsRG"
