"db" "query" "genus" "class" "phylum"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriia" "Acidobacteria"
"ncbi" "Anaerolineae bacterium CG2_30_64_16" NA "Anaerolineae" "Chloroflexi"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"ncbi" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" NA NA "Acidobacteria"
"ncbi" "Hassallia byssoidea VB512170" "Hassallia" NA "Cyanobacteria"
"ncbi" "Planctomycetes bacterium GWF2_50_10" NA NA "Planctomycetes"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10" NA NA "Candidatus Handelsmanbacteria"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"ncbi" "Terriglobus roseus" "Terriglobus" "Acidobacteriia" "Acidobacteria"
"ncbi" "Bdellovibrionales bacterium RIFOXYD1_FULL_53_11" NA "Oligoflexia" "Proteobacteria"
"ncbi" "Candidatus Firestonebacteria bacterium RIFOXYA2_FULL_40_8" NA NA "Candidatus Firestonebacteria"
"ncbi" "Acidobacteria bacterium DSM 100886" "Luteitalea" NA "Acidobacteria"
"ncbi" "Chthonomonas calidirosea T49" "Chthonomonas" "Chthonomonadetes" "Armatimonadetes"
"ncbi" "Alicyclobacillus tengchongensis" "Alicyclobacillus" "Bacilli" "Firmicutes"
"ncbi" "Planctomycetes bacterium RBG_13_63_9" NA NA "Planctomycetes"
"ncbi" "Sphaerobacter thermophilus DSM 20745" "Sphaerobacter" "Thermomicrobia" "Chloroflexi"
"ncbi" "Terriglobus saanensis SP1PR4" "Terriglobus" "Acidobacteriia" "Acidobacteria"
"ncbi" "Actinobacteria bacterium RBG_16_68_12" NA NA "Actinobacteria"
"ncbi" "Solirubrobacterales bacterium 70-9" NA "Thermoleophilia" "Actinobacteria"
"ncbi" "Mycobacterium vulneris" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Candidatus Dadabacteria bacterium RIFCSPHIGHO2_12_FULL_53_21" NA NA "Candidatus Dadabacteria"
"ncbi" "Gemmatimonadetes bacterium SCN 70-22" NA NA "Gemmatimonadetes"
"ncbi" "Streptomyces cattleya NRRL 8057 = DSM 46488" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Mycobacterium kansasii" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Armatimonadetes bacterium RBG_16_58_9" NA NA "Armatimonadetes"
"ncbi" "Candidatus Rokubacteria bacterium RIFCSPHIGHO2_12_FULL_73_22" NA NA "Candidatus Rokubacteria"
"ncbi" "Tolypothrix campylonemoides VB511288" "Tolypothrix" NA "Cyanobacteria"
"ncbi" "Bacillus niacini" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Mycobacterium xenopi 4042" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Actinobacteria bacterium 69-20" NA "Actinobacteria" "Actinobacteria"
"ncbi" "Ignavibacteria bacterium GWA2_55_11" NA "Ignavibacteria" "Ignavibacteriae"
"ncbi" "Burkholderia arationis" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bosea sp. DSM 18164" "Bosea" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Chelatococcus sp. CO-6" "Chelatococcus" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Hyphomicrobium sp. SCN 65-11" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Thiocapsa sp. KS1" "Thiocapsa" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Ralstonia solanacearum" "Ralstonia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium sp. BR 10245" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Chelatococcus sambhunathii" "Chelatococcus" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_58" NA "Betaproteobacteria" "Proteobacteria"
