"Gene" "OTU" "phylum" "class" "genus"
"rplB" "rplB_0115" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_0136" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0206" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0216" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0220" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0235" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0319" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0394" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0453" "Actinobacteria" "Actinobacteridae" "Mycobacteriaceae"
"rplB" "rplB_0490" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0552" "Proteobacteria" "Betaproteobacteria" "Burkholderia"
"rplB" "rplB_0593" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0668" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0674" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0734" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_0760" "Proteobacteria" "Betaproteobacteria" "Burkholderia"
"rplB" "rplB_0791" "Actinobacteria" "Actinobacteridae" "Mycobacteriaceae"
"rplB" "rplB_0939" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1007" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_1086" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1274" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1301" "Proteobacteria" "Alphaproteobacteria" "Sphingomonas"
"rplB" "rplB_1302" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1326" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1471" "Proteobacteria" "Alphaproteobacteria" "Beijerinckia"
"rplB" "rplB_1492" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1622" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1681" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1729" "Proteobacteria" "Betaproteobacteria" "Burkholderia"
"rplB" "rplB_1750" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1763" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1927" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1983" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1990" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2002" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2014" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2041" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2081" "Actinobacteria" "Actinobacteridae" "Acidothermaceae"
"rplB" "rplB_2090" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2153" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2161" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2305" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_2436" "Proteobacteria" "Betaproteobacteria" "Burkholderia"
"rplB" "rplB_2476" "Actinobacteria" "Actinobacteridae" "Mycobacteriaceae"
"rplB" "rplB_2516" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2521" "Proteobacteria" "Betaproteobacteria" "Burkholderia"
"rplB" "rplB_2529" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2547" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_2654" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_2705" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_2743" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_3068" "Planctomycetes" "Planctomycetia" "Singulisphaera"
"rplB" "rplB_3117" "Firmicutes" "Bacilli" "Bacillus"
"rplB" "rplB_3185" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_3224" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_3266" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_3305" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_3755" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_3768" "Proteobacteria" "Alphaproteobacteria" "Beijerinckia"
"rplB" "rplB_3790" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_3857" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_3902" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_4048" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_4303" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_4388" "Cyanobacteria" "Stigonematales" NA
"rplB" "rplB_4419" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0038" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_1713" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0188" "Proteobacteria" "Alphaproteobacteria" "Phenylobacterium"
"rplB" "rplB_1894" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0492" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0651" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0830" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0923" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0638" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2135" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0113" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1444" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1929" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_2602" "Actinobacteria" "Actinobacteridae" "Mycobacteriaceae"
"rplB" "rplB_3619" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0962" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1954" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0017" "Actinobacteria" "Actinobacteridae" "Mycobacteriaceae"
"rplB" "rplB_0620" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1779" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_2221" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_2754" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_1424" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_2463" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_2534" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1346" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0886" "Proteobacteria" "Betaproteobacteria" NA
"rplB" "rplB_3090" "Proteobacteria" "Betaproteobacteria" "Herminiimonas"
"rplB" "rplB_2561" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0055" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1851" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_4230" "Chloroflexi" "Chloroflexia" "Roseiflexaceae"
"rplB" "rplB_0910" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1789" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0027" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0109" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0677" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1112" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2238" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_2285" "Proteobacteria" "Alphaproteobacteria" "Phenylobacterium"
"rplB" "rplB_4134" "Actinobacteria" "Rubrobacteridae" "Rubrobacteraceae"
"rplB" "rplB_4690" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0644" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1046" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_2361" "Actinobacteria" "Actinobacteridae" "Gordoniaceae"
"rplB" "rplB_3316" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_3322" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_2508" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_4684" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0004" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_1454" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2456" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0980" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_1125" "Proteobacteria" "Alphaproteobacteria" "Phenylobacterium"
"rplB" "rplB_3716" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1316" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0605" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0258" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0441" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0575" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0800" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_1435" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_4222" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_3315" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_3487" "Proteobacteria" "Alphaproteobacteria" "Phenylobacterium"
"rplB" "rplB_0429" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0562" "Actinobacteria" "Actinobacteridae" "Cellulomonadaceae"
"rplB" "rplB_0981" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0882" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_3174" "Proteobacteria" "Alphaproteobacteria" "Novosphingobium"
"rplB" "rplB_0579" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2241" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_3899" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0137" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0284" "Actinobacteria" "Actinobacteridae" "Catenulisporaceae"
"rplB" "rplB_1816" "Proteobacteria" "Alphaproteobacteria" "Sphingobium"
"rplB" "rplB_0629" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_1276" "Actinobacteria" "Actinobacteridae" "Catenulisporaceae"
"rplB" "rplB_1452" "Proteobacteria" "Gammaproteobacteria" "Rhodanobacter"
"rplB" "rplB_1925" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_2334" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_3227" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_3448" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_4035" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1940" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_3872" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1443" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1499" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_3686" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0128" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0875" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0370" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1732" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0856" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1339" "Proteobacteria" "Alphaproteobacteria" "Novosphingobium"
"rplB" "rplB_1694" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_1193" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1363" "Actinobacteria" "Actinobacteridae" "Mycobacteriaceae"
"rplB" "rplB_1512" "Actinobacteria" "Actinobacteridae" "Cellulomonadaceae"
"rplB" "rplB_2167" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_4064" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0608" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0954" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0351" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_1178" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_2687" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0391" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1373" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1453" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1798" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1875" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_3580" "Firmicutes" "Bacilli" "Alicyclobacillus"
"rplB" "rplB_0917" "Actinobacteria" "Actinobacteridae" "Cellulomonadaceae"
"rplB" "rplB_1514" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_2402" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_1838" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_2432" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1038" "Actinobacteria" "Actinobacteridae" "Catenulisporaceae"
"rplB" "rplB_1621" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_2193" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_2410" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_3707" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0878" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1459" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_1790" "Actinobacteria" "Actinobacteridae" "Cellulomonadaceae"
"rplB" "rplB_1946" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_2045" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_4377" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0177" "Proteobacteria" "Alphaproteobacteria" "Phenylobacterium"
"rplB" "rplB_0338" "Proteobacteria" "Alphaproteobacteria" "Phenylobacterium"
"rplB" "rplB_0457" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0692" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0814" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0922" "Actinobacteria" "Actinobacteridae" "Pseudonocardiaceae"
"rplB" "rplB_2111" "Actinobacteria" "Actinobacteridae" "Cellulomonadaceae"
"rplB" "rplB_2213" "Actinobacteria" "Actinobacteridae" "Cellulomonadaceae"
"rplB" "rplB_3952" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_4705" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0813" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1362" "Actinobacteria" "Actinobacteridae" "Catenulisporaceae"
"rplB" "rplB_1483" "Gemmatimonadetes" "Gemmatimonadales" NA
"rplB" "rplB_3341" "Actinobacteria" "Actinobacteridae" "Acidothermaceae"
"rplB" "rplB_0455" "Actinobacteria" "Actinobacteridae" "Nocardioidaceae"
"rplB" "rplB_1191" "Actinobacteria" "Rubrobacteridae" "Conexibacter"
"rplB" "rplB_2586" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_2036" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_2646" "Proteobacteria" "Alphaproteobacteria" "Sphingobium"
"rplB" "rplB_2674" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_2736" "Proteobacteria" "Alphaproteobacteria" "Phenylobacterium"
"rplB" "rplB_0594" "Actinobacteria" "Actinobacteridae" "Nocardioidaceae"
"rplB" "rplB_2497" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0786" "Actinobacteria" "Actinobacteridae" "Cellulomonadaceae"
"rplB" "rplB_1054" "Proteobacteria" "Alphaproteobacteria" "Sphingomonas"
"rplB" "rplB_2376" "Proteobacteria" "Alphaproteobacteria" "Phenylobacterium"
"rplB" "rplB_1473" "Proteobacteria" "Alphaproteobacteria" "Novosphingobium"
"rplB" "rplB_0577" "Proteobacteria" "Alphaproteobacteria" "Novosphingobium"
"rplB" "rplB_1000" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_3234" "Actinobacteria" "Rubrobacteridae" "Conexibacter"
"rplB" "rplB_2539" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_1188" "Actinobacteria" "Actinobacteridae" "Nocardioidaceae"
"rplB" "rplB_3142" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_3593" "Bacteroidetes" "Sphingobacteriia" "Niastella"
"rplB" "rplB_3783" "Actinobacteria" "Rubrobacteridae" "Conexibacter"
"rplB" "rplB_4147" "Proteobacteria" "Alphaproteobacteria" "Beijerinckia"
"rplB" "rplB_4516" "Proteobacteria" "Betaproteobacteria" "Variovorax"
"rplB" "rplB_0667" "Proteobacteria" "Alphaproteobacteria" "Methylocystis"
"rplB" "rplB_2770" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_1599" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_1941" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_4174" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0186" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_1598" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_2157" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_3769" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_4383" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0274" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0755" "Actinobacteria" "Rubrobacteridae" "Conexibacter"
"rplB" "rplB_1901" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_3610" "Chloroflexi" "Chloroflexia" "Roseiflexaceae"
"rplB" "rplB_4397" "Chloroflexi" "Chloroflexia" "Chloroflexaceae"
"rplB" "rplB_4490" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0005" "Actinobacteria" "Actinobacteridae" "Acidothermaceae"
"rplB" "rplB_0060" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0399" "Actinobacteria" "Actinobacteridae" "Gordoniaceae"
"rplB" "rplB_1590" "Proteobacteria" "Alphaproteobacteria" "Phenylobacterium"
"rplB" "rplB_4173" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0103" "Proteobacteria" "Alphaproteobacteria" "Methylocystis"
