"db" "query" "genus" "class" "phylum" "Organism"
"ncbi" "uncultured soil bacterium" NA NA NA "uncultured soil bacterium"
"ncbi" "Gloeocapsa sp. PCC 7428" "Gloeocapsa" NA "Cyanobacteria" "Gloeocapsa sp. PCC 7428"
"ncbi" "Actinobacteria bacterium RBG_16_70_17" NA NA "Actinobacteria" "Actinobacteria bacterium RBG_16_70_17"
"ncbi" "Sphaerobacter thermophilus DSM 20745" "Sphaerobacter" "Thermomicrobia" "Chloroflexi" "Sphaerobacter thermophilus DSM 20745"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 59-55"
"ncbi" "Bacteroidetes bacterium 46-16" NA NA "Bacteroidetes" "Bacteroidetes bacterium 46-16"
"ncbi" "Mycobacterium kansasii" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium kansasii"
"ncbi" "Streptomyces cattleya NRRL 8057 = DSM 46488" "Streptomyces" "Actinobacteria" "Actinobacteria" "Streptomyces cattleya NRRL 8057 = DSM 46488"
"ncbi" "Geobacter sp. M21" "Geobacter" "Deltaproteobacteria" "Proteobacteria" "Geobacter sp. M21"
"ncbi" "Rhodospirillales bacterium 69-11" NA "Alphaproteobacteria" "Proteobacteria" "Rhodospirillales bacterium 69-11"
"ncbi" "Nitrospirae bacterium 13_1_40CM_4_62_6" NA NA "Nitrospirae" "Nitrospirae bacterium 13_1_40CM_4_62_6"
"ncbi" "Micromonospora carbonacea" "Micromonospora" "Actinobacteria" "Actinobacteria" "Micromonospora carbonacea"
"ncbi" "Micromonospora carbonacea" "Micromonospora" "Actinobacteria" "Actinobacteria" "Micromonospora carbonacea"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Leptolyngbya valderiana BDU 20041" "Leptolyngbya" NA "Cyanobacteria" "Leptolyngbya valderiana BDU 20041"
"ncbi" "Thermoanaerobaculum aquaticum" "Thermoanaerobaculum" NA "Acidobacteria" "Thermoanaerobaculum aquaticum"
"ncbi" "Verrucomicrobia bacterium SCN 57-15" NA NA "Verrucomicrobia" "Verrucomicrobia bacterium SCN 57-15"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Sclerotinia sclerotiorum 1980 UF-70" "Sclerotinia" "Leotiomycetes" "Ascomycota" "Sclerotinia sclerotiorum 1980 UF-70"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Planctomycetes bacterium GWF2_50_10" NA NA "Planctomycetes" "Planctomycetes bacterium GWF2_50_10"
"ncbi" "Bacillus sp. LK2" "Bacillus" "Bacilli" "Firmicutes" "Bacillus sp. LK2"
"ncbi" "Rhodothermaceae bacterium RA" NA NA "Bacteroidetes" "Rhodothermaceae bacterium RA"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Anaerolinea thermophila UNI-1" "Anaerolinea" "Anaerolineae" "Chloroflexi" "Anaerolinea thermophila UNI-1"
"ncbi" "Anaeromyxobacter dehalogenans 2CP-1" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter dehalogenans 2CP-1"
"ncbi" "Levilinea saccharolytica" "Levilinea" "Anaerolineae" "Chloroflexi" "Levilinea saccharolytica"
"ncbi" "Anaerolineae bacterium CG2_30_64_16" NA "Anaerolineae" "Chloroflexi" "Anaerolineae bacterium CG2_30_64_16"
"ncbi" "Deltaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_43_49" NA "Deltaproteobacteria" "Proteobacteria" "Deltaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_43_49"
"ncbi" "Terriglobus roseus DSM 18391" "Terriglobus" "Acidobacteriia" "Acidobacteria" "Terriglobus roseus DSM 18391"
"ncbi" "Thielavia terrestris NRRL 8126" "Thielavia" "Sordariomycetes" "Ascomycota" "Thielavia terrestris NRRL 8126"
"ncbi" "Alphaproteobacteria bacterium 62-8" NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 62-8"
"ncbi" "Terriglobus saanensis SP1PR4" "Terriglobus" "Acidobacteriia" "Acidobacteria" "Terriglobus saanensis SP1PR4"
"ncbi" "Verrucomicrobia bacterium 61-8" NA NA "Verrucomicrobia" "Verrucomicrobia bacterium 61-8"
"ncbi" "Rhodomicrobium udaipurense JA643" "Rhodomicrobium" "Alphaproteobacteria" "Proteobacteria" "Rhodomicrobium udaipurense JA643"
"ncbi" "Actinobacteria bacterium RBG_16_68_12" NA NA "Actinobacteria" "Actinobacteria bacterium RBG_16_68_12"
"ncbi" "Roseomonas cervicalis ATCC 49957" "Roseomonas" "Alphaproteobacteria" "Proteobacteria" "Roseomonas cervicalis ATCC 49957"
"ncbi" "Bradyrhizobium sp. LMTR 3" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. LMTR 3"
"ncbi" "Mesorhizobium muleiense" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium muleiense"
"ncbi" "Chelatococcus sambhunathii" "Chelatococcus" "Alphaproteobacteria" "Proteobacteria" "Chelatococcus sambhunathii"
"ncbi" "Bradyrhizobium sp. BR 10245" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. BR 10245"
"ncbi" "Bradyrhizobium sp. NAS96.2" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. NAS96.2"
"ncbi" "Hyphomicrobium denitrificans ATCC 51888" "Hyphomicrobium" "Alphaproteobacteria" "Proteobacteria" "Hyphomicrobium denitrificans ATCC 51888"
"ncbi" "Afipia sp. P52-10" "Afipia" "Alphaproteobacteria" "Proteobacteria" "Afipia sp. P52-10"
"ncbi" "Rhizobium sp. CF080" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium sp. CF080"
"ncbi" "Bradyrhizobium lablabi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium lablabi"
"ncbi" "Pseudomonas batumici" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas batumici"
"ncbi" "Burkholderia sp. GAS332" "Burkholderia" "Betaproteobacteria" "Proteobacteria" "Burkholderia sp. GAS332"
"ncbi" "Magnetospirillum magneticum AMB-1" "Magnetospirillum" "Alphaproteobacteria" "Proteobacteria" "Magnetospirillum magneticum AMB-1"
"ncbi" "Shewanella xiamenensis" "Shewanella" "Gammaproteobacteria" "Proteobacteria" "Shewanella xiamenensis"
"ncbi" "Phenylobacterium zucineum HLK1" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria" "Phenylobacterium zucineum HLK1"
"ncbi" "Paracoccus versutus" "Paracoccus" "Alphaproteobacteria" "Proteobacteria" "Paracoccus versutus"
"ncbi" "Rhizobium multihospitium" "Rhizobium" "Alphaproteobacteria" "Proteobacteria" "Rhizobium multihospitium"
"ncbi" "Beijerinckia sp. 28-YEA-48" "Beijerinckia" "Alphaproteobacteria" "Proteobacteria" "Beijerinckia sp. 28-YEA-48"
"ncbi" "Bradyrhizobium sp. cf659" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. cf659"
"ncbi" "Acetobacter pasteurianus" "Acetobacter" "Alphaproteobacteria" "Proteobacteria" "Acetobacter pasteurianus"
"ncbi" "Rhodopseudomonas palustris BisB18" "Rhodopseudomonas" "Alphaproteobacteria" "Proteobacteria" "Rhodopseudomonas palustris BisB18"
"ncbi" "Pseudomonas jinjuensis" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria" "Pseudomonas jinjuensis"
"ncbi" "Microvirga sp. BSC39" "Microvirga" "Alphaproteobacteria" "Proteobacteria" "Microvirga sp. BSC39"
"ncbi" "Sphingomonas sp. WHSC-8" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria" "Sphingomonas sp. WHSC-8"
