lower,r,upper,p
ClssA-ClssB,0.29,0.74,0.92,0.01
ClssA-ClssC,0.14,0.66,0.9,0.02
ClssA-CEP,-0.57,0.01,0.58,0.99
ClssA-intI,-0.76,-0.33,0.3,0.3
ClssA-adeB,-0.72,-0.24,0.39,0.45
ClssA-tolC,-0.46,0.16,0.67,0.63
ClssA-sul2,-0.89,-0.64,-0.11,0.02
ClssA-dfr12,-0.48,0.13,0.66,0.68
ClssA-vanA,-0.45,0.17,0.68,0.59
ClssA-vanH,-0.26,0.37,0.78,0.23
ClssA-vanX,-0.62,-0.08,0.52,0.81
ClssA-vanZ,-0.44,0.18,0.68,0.57
ClssB-ClssC,-0.3,0.33,0.76,0.29
ClssB-CEP,-0.77,-0.34,0.29,0.27
ClssB-intI,-0.54,0.06,0.61,0.86
ClssB-adeB,-0.66,-0.14,0.47,0.66
ClssB-tolC,-0.33,0.3,0.75,0.35
ClssB-sul2,-0.93,-0.77,-0.36,0
ClssB-dfr12,-0.36,0.27,0.73,0.4
ClssB-vanA,-0.43,0.19,0.69,0.56
ClssB-vanH,-0.47,0.15,0.67,0.65
ClssB-vanX,-0.66,-0.14,0.47,0.66
ClssB-vanZ,-0.48,0.12,0.65,0.7
ClssC-CEP,-0.54,0.05,0.61,0.87
ClssC-intI,-0.75,-0.32,0.31,0.32
ClssC-adeB,-0.78,-0.36,0.26,0.24
ClssC-tolC,-0.52,0.08,0.62,0.82
ClssC-sul2,-0.85,-0.55,0.04,0.07
ClssC-dfr12,-0.59,-0.03,0.55,0.93
ClssC-vanA,-0.62,-0.07,0.52,0.82
ClssC-vanH,-0.39,0.24,0.72,0.45
ClssC-vanX,-0.65,-0.12,0.49,0.71
ClssC-vanZ,-0.29,0.34,0.77,0.27
CEP-intI,-0.4,0.22,0.71,0.49
CEP-adeB,-0.52,0.08,0.63,0.8
CEP-tolC,-0.66,-0.13,0.48,0.68
CEP-sul2,-0.5,0.11,0.64,0.74
CEP-dfr12,-0.66,-0.15,0.47,0.65
CEP-vanA,-0.6,-0.04,0.55,0.91
CEP-vanH,-0.55,0.03,0.6,0.92
CEP-vanX,-0.27,0.36,0.77,0.25
CEP-vanZ,-0.75,-0.31,0.32,0.33
intI-adeB,-0.54,0.05,0.61,0.88
intI-tolC,-0.48,0.13,0.66,0.68
intI-sul2,-0.67,-0.16,0.45,0.62
intI-dfr12,-0.57,0.01,0.58,0.98
intI-vanA,-0.42,0.2,0.7,0.53
intI-vanH,-0.58,-0.01,0.56,0.97
intI-vanX,-0.34,0.29,0.74,0.37
intI-vanZ,-0.72,-0.25,0.38,0.44
adeB-tolC,-0.36,0.27,0.73,0.4
adeB-sul2,-0.44,0.18,0.69,0.57
adeB-dfr12,-0.39,0.24,0.71,0.46
adeB-vanA,-0.02,0.56,0.86,0.06
adeB-vanH,-0.29,0.34,0.77,0.27
adeB-vanX,-0.29,0.34,0.76,0.28
adeB-vanZ,-0.62,-0.07,0.53,0.84
tolC-sul2,-0.79,-0.39,0.24,0.21
tolC-dfr12,0.79,0.94,0.98,0
tolC-vanA,-0.63,-0.08,0.52,0.8
tolC-vanH,-0.56,0.02,0.59,0.96
tolC-vanX,-0.47,0.15,0.66,0.65
tolC-vanZ,0.02,0.59,0.87,0.04
sul2-dfr12,-0.71,-0.24,0.39,0.46
sul2-vanA,-0.67,-0.16,0.45,0.61
sul2-vanH,-0.72,-0.24,0.39,0.45
sul2-vanX,-0.62,-0.07,0.52,0.82
sul2-vanZ,-0.74,-0.29,0.34,0.37
dfr12-vanA,-0.7,-0.21,0.42,0.52
dfr12-vanH,-0.67,-0.15,0.46,0.63
dfr12-vanX,-0.61,-0.05,0.54,0.88
dfr12-vanZ,-0.14,0.47,0.82,0.12
vanA-vanH,0.6,0.87,0.96,0
vanA-vanX,-0.1,0.5,0.84,0.09
vanA-vanZ,-0.78,-0.38,0.25,0.23
vanH-vanX,0.08,0.63,0.88,0.03
vanH-vanZ,-0.67,-0.16,0.45,0.61
vanX-vanZ,-0.65,-0.12,0.49,0.72
