"Gene" "OTU" "query" "db" "genus" "class" "phylum"
"acr3" "OTU_0001" "Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10" "ncbi" NA NA "Candidatus Handelsmanbacteria"
"acr3" "OTU_0002" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0006" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0013" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0020" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0034" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0036" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0037" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0039" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0040" "Acidobacteriales bacterium 59-55" "ncbi" NA "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0042" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0043" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0046" "Acidobacteria bacterium DSM 100886" "ncbi" "Luteitalea" NA "Acidobacteria"
"acr3" "OTU_0048" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0049" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0050" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0051" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0052" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0053" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0056" "Actinobacteria bacterium RBG_16_68_12" "ncbi" NA NA "Actinobacteria"
"acr3" "OTU_0059" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0062" "Planctomycetes bacterium RBG_13_63_9" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0069" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0074" "Terriglobus saanensis SP1PR4" "ncbi" "Terriglobus" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0078" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0084" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0086" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0087" "Acidobacteriales bacterium 59-55" "ncbi" NA "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0090" "Candidatus Firestonebacteria bacterium RIFOXYA2_FULL_40_8" "ncbi" NA NA "Candidatus Firestonebacteria"
"acr3" "OTU_0096" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0098" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0099" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0101" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0102" "Candidatus Firestonebacteria bacterium RIFOXYA2_FULL_40_8" "ncbi" NA NA "Candidatus Firestonebacteria"
"acr3" "OTU_0103" "Actinobacteria bacterium RBG_16_68_12" "ncbi" NA NA "Actinobacteria"
"acr3" "OTU_0107" "Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21" "ncbi" NA NA "Acidobacteria"
"acr3" "OTU_0112" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0114" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0116" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0117" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0120" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0122" "Candidatus Firestonebacteria bacterium RIFOXYA2_FULL_40_8" "ncbi" NA NA "Candidatus Firestonebacteria"
"acr3" "OTU_0123" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0125" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0129" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0130" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0131" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0134" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0136" "Candidatus Propionivibrio aalborgensis" "ncbi" "Propionivibrio" "Betaproteobacteria" "Proteobacteria"
"acr3" "OTU_0142" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0144" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0150" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0156" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0157" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0160" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0161" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0166" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0167" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0169" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0173" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0174" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0177" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0180" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0184" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0191" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0192" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0195" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0196" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0197" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0206" "Solirubrobacterales bacterium 70-9" "ncbi" NA "Thermoleophilia" "Actinobacteria"
"acr3" "OTU_0208" "Streptomyces cattleya NRRL 8057 = DSM 46488" "ncbi" "Streptomyces" "Actinobacteria" "Actinobacteria"
"acr3" "OTU_0210" "Ignavibacteria bacterium GWA2_55_11" "ncbi" NA "Ignavibacteria" "Ignavibacteriae"
"acr3" "OTU_0215" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0239" "Solirubrobacterales bacterium 70-9" "ncbi" NA "Thermoleophilia" "Actinobacteria"
"acr3" "OTU_0242" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0247" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0248" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0258" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0259" "Alicyclobacillus tengchongensis" "ncbi" "Alicyclobacillus" "Bacilli" "Firmicutes"
"acr3" "OTU_0263" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0267" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0268" "Anaerolineae bacterium CG2_30_64_16" "ncbi" NA "Anaerolineae" "Chloroflexi"
"acr3" "OTU_0273" "Anaeromyxobacter sp. PSR-1" "ncbi" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria"
"acr3" "OTU_0280" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0281" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0283" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0286" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0304" "Planctomycetes bacterium GWF2_50_10" "ncbi" NA NA "Planctomycetes"
"acr3" "OTU_0306" "Actinobacteria bacterium RBG_16_68_12" "ncbi" NA NA "Actinobacteria"
"acr3" "OTU_0313" "Gemmatimonadetes bacterium SCN 70-22" "ncbi" NA NA "Gemmatimonadetes"
"acr3" "OTU_0318" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0319" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0321" "Acidobacterium capsulatum ATCC 51196" "ncbi" "Acidobacterium" "Acidobacteriia" "Acidobacteria"
"acr3" "OTU_0323" "Candidatus Koribacter versatilis Ellin345" "ncbi" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria"
