acr3_002 acr3_053 arsM_109 arsM_296 ClassB_001 dfra12_038 dfra12_076 rplB_0149 rplB_0267 rplB_0355 rplB_0407 rplB_0549 rplB_0564 rplB_0692 rplB_1015 rplB_1027 tolC_08 SoilTemperature_to10cm DateSince_Fire Ca_ppm Mg_ppm
acr3_002 1 0.892168565651233 0.926220800981433 0.922815577448413 0.864926777387073 0.993506493506493 0.953462589245592 0.646992471273795 0.493757412287896 0.594618725379069 0.606129788877555 0.507378306419976 0.844495436188953 0.850649350649351 0.541430541750176 0.616883116883117 0.905789459783313 -0.579396249790627 0.0803707427642494 -0.310604175145491 -0.322550489574164
acr3_053 0.892168565651233 1 0.95 0.791071428571429 0.971428571428572 0.905789459783313 0.935714285714286 0.564285714285714 0.723214285714286 0.642539604115686 0.503571428571429 0.733928571428571 0.907142857142857 0.766175294929494 0.744642857142857 0.711691718401174 0.971428571428572 -0.532499511722125 -0.15192709248921 -0.410337859032932 -0.335161457378043
arsM_109 0.926220800981433 0.95 1 0.794642857142857 0.957142857142857 0.939841695113512 0.971428571428572 0.639285714285714 0.630357142857143 0.648839011999173 0.592857142857143 0.583928571428571 0.914285714285714 0.759364847863454 0.644642857142857 0.650397694806815 0.992857142857143 -0.563823012411662 -0.10395011591367 -0.48551426068782 -0.435396659584561
arsM_296 0.922815577448413 0.791071428571429 0.794642857142857 1 0.698214285714286 0.916005130382373 0.855357142857143 0.730357142857143 0.364285714285714 0.425210032135381 0.691071428571429 0.342857142857143 0.6125 0.939841695113512 0.310714285714286 0.446084282825616 0.773214285714286 -0.598278863170152 0.279865696690651 -0.231793905102572 -0.288176206343738
ClassB_001 0.864926777387073 0.971428571428572 0.957142857142857 0.698214285714286 1 0.878547671519153 0.907142857142857 0.525 0.7625 0.711833090834045 0.471428571428571 0.744642857142857 0.964285714285714 0.684449930137014 0.805357142857143 0.793417083193654 0.978571428571429 -0.488646610756773 -0.267871452546766 -0.441661359722468 -0.372749658205487
dfra12_038 0.993506493506493 0.905789459783313 0.939841695113512 0.916005130382373 0.878547671519153 1 0.946652142179552 0.691260377203054 0.520999200552056 0.576599976125158 0.643587247740775 0.514188753486016 0.837684989122913 0.857142857142857 0.548240988816216 0.623376623376623 0.926220800981433 -0.5913425642193 0.0382717822686902 -0.370335747288854 -0.382282061717527
dfra12_076 0.953462589245592 0.935714285714286 0.971428571428572 0.855357142857143 0.907142857142857 0.946652142179552 1 0.585714285714286 0.541071428571429 0.623641380465225 0.546428571428571 0.551785714285714 0.885714285714286 0.786606636127614 0.583928571428571 0.568672330014335 0.95 -0.570087712549569 0.0399808138129501 -0.372749658205487 -0.316367356964321
rplB_0149 0.646992471273795 0.564285714285714 0.639285714285714 0.730357142857143 0.525 0.691260377203054 0.585714285714286 1 0.269642857142857 0.13228756555323 0.7375 0.0875 0.371428571428571 0.728717836066274 0.101785714285714 0.476731294622796 0.632142857142857 -0.501176011032588 -0.02398848828777 -0.679719964962948 -0.776822817100512
rplB_0267 0.493757412287896 0.723214285714286 0.630357142857143 0.364285714285714 0.7625 0.520999200552056 0.541071428571429 0.269642857142857 1 0.705533682950558 0.208928571428571 0.673214285714286 0.698214285714286 0.561861882948296 0.921428571428571 0.684449930137014 0.691071428571429 -0.422867259308746 -0.14393092972662 -0.422867259308746 -0.27251445599897
rplB_0355 0.594618725379069 0.642539604115686 0.648839011999173 0.425210032135381 0.711833090834045 0.576599976125158 0.623641380465225 0.13228756555323 0.705533682950558 1 0.422060328193637 0.721282202659275 0.749629538134967 0.498518729358209 0.74333013025148 0.552574977119943 0.655138419882661 -0.696143221338386 0.140817166364505 -0.143648601228556 -0.0828741930164745
rplB_0407 0.606129788877555 0.503571428571429 0.592857142857143 0.691071428571429 0.471428571428571 0.643587247740775 0.546428571428571 0.7375 0.208928571428571 0.422060328193637 1 0.282142857142857 0.332142857142857 0.681044706603995 0.0482142857142857 0.241770870844418 0.578571428571429 -0.795616917514234 0.130118696092458 -0.278779156136877 -0.382146708412348
rplB_0549 0.507378306419976 0.733928571428571 0.583928571428571 0.342857142857143 0.744642857142857 0.514188753486016 0.551785714285714 0.0875 0.673214285714286 0.721282202659275 0.282142857142857 1 0.7375 0.323496235636897 0.794642857142857 0.677639483070975 0.644642857142857 -0.48551426068782 -0.390356088277374 -0.0877058019307029 0.0250588005516294
rplB_0564 0.844495436188953 0.907142857142857 0.914285714285714 0.6125 0.964285714285714 0.837684989122913 0.885714285714286 0.371428571428571 0.698214285714286 0.749629538134967 0.332142857142857 0.7375 1 0.568672330014335 0.826785714285714 0.786606636127614 0.921428571428571 -0.419734909239793 -0.279865696690651 -0.347690857653858 -0.266249755861062
rplB_0692 0.850649350649351 0.766175294929494 0.759364847863454 0.939841695113512 0.684449930137014 0.857142857142857 0.786606636127614 0.728717836066274 0.561861882948296 0.498518729358209 0.681044706603995 0.323496235636897 0.568672330014335 1 0.418842494561457 0.448051948051948 0.752554400797414 -0.663020450791336 0.35210039687195 -0.322550489574164 -0.340469961217173
rplB_1015 0.541430541750176 0.744642857142857 0.644642857142857 0.310714285714286 0.805357142857143 0.548240988816216 0.583928571428571 0.101785714285714 0.921428571428571 0.74333013025148 0.0482142857142857 0.794642857142857 0.826785714285714 0.418842494561457 1 0.759364847863454 0.698214285714286 -0.322632057102229 -0.295858022215831 -0.303837956688507 -0.140955753102915
rplB_1027 0.616883116883117 0.711691718401174 0.650397694806815 0.446084282825616 0.793417083193654 0.623376623376623 0.568672330014335 0.476731294622796 0.684449930137014 0.552574977119943 0.241770870844418 0.677639483070975 0.786606636127614 0.448051948051948 0.759364847863454 1 0.698070824269094 -0.268792074645136 -0.505187525946711 -0.447986791075227 -0.447986791075227
tolC_08 0.905789459783313 0.971428571428572 0.992857142857143 0.773214285714286 0.978571428571429 0.926220800981433 0.95 0.632142857142857 0.691071428571429 0.655138419882661 0.578571428571429 0.644642857142857 0.921428571428571 0.752554400797414 0.698214285714286 0.698070824269094 1 -0.551293612135847 -0.16791941801439 -0.498043660963635 -0.441661359722468
SoilTemperature_to10cm -0.579396249790627 -0.532499511722125 -0.563823012411662 -0.598278863170152 -0.488646610756773 -0.5913425642193 -0.570087712549569 -0.501176011032588 -0.422867259308746 -0.696143221338386 -0.795616917514234 -0.48551426068782 -0.419734909239793 -0.663020450791336 -0.322632057102229 -0.268792074645136 -0.551293612135847 1 -0.35853580388236 0.285714285714286 0.247252747252747
DateSince_Fire 0.0803707427642494 -0.15192709248921 -0.10395011591367 0.279865696690651 -0.267871452546766 0.0382717822686902 0.0399808138129501 -0.02398848828777 -0.14393092972662 0.140817166364505 0.130118696092458 -0.390356088277374 -0.279865696690651 0.35210039687195 -0.295858022215831 -0.505187525946711 -0.16791941801439 -0.35853580388236 1 0.225877556445886 0.190023976057651
Ca_ppm -0.310604175145491 -0.410337859032932 -0.48551426068782 -0.231793905102572 -0.441661359722468 -0.370335747288854 -0.372749658205487 -0.679719964962948 -0.422867259308746 -0.143648601228556 -0.278779156136877 -0.0877058019307029 -0.347690857653858 -0.322550489574164 -0.303837956688507 -0.447986791075227 -0.498043660963635 0.285714285714286 0.225877556445886 1 0.928571428571429
Mg_ppm -0.322550489574164 -0.335161457378043 -0.435396659584561 -0.288176206343738 -0.372749658205487 -0.382282061717527 -0.316367356964321 -0.776822817100512 -0.27251445599897 -0.0828741930164745 -0.382146708412348 0.0250588005516294 -0.266249755861062 -0.340469961217173 -0.140955753102915 -0.447986791075227 -0.441661359722468 0.247252747252747 0.190023976057651 0.928571428571429 1
