"Site" "As_ppm" "Temp" "Classification" "organism" "Abundance" "Fraction.Abundance" "GE" "rplB" "Normalized.Abundance.census" "Normalized.Abundance.rplB" "Gene" "Type"
"Cen01" 2.63 14.1 "Recovered" "Acidobacteria bacterium SCGC AG-212-P17" 12.932 0.0199 3469.8686759 1144.758 0.00372694220095974 0.011296710745852 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Acidobacteriales bacterium 13_2_20CM_55_8" 4.004 0.0062 3469.8686759 1144.758 0.00115393416120034 0.00349768247961578 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Niastella yeongjuensis" 2.849 0.0044 3469.8686759 1144.758 0.000821068537777165 0.00248873561049584 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Actinobacteria bacterium RBG_16_70_17" 16.45 0.0253 3469.8686759 1144.758 0.00474081342451189 0.0143698493480718 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Caldilinea aerophila DSM 14535 = NBRC 104270" 2.635 0.0041 3469.8686759 1144.758 0.000759394733956767 0.00230179653690998 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Acidobacteriales bacterium 59-55" 13.554 0.0209 3469.8686759 1144.758 0.00390619970552183 0.0118400570251529 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Conexibacter woesei DSM 14684" 6.811 0.0105 3469.8686759 1144.758 0.00196289849448939 0.00594972911305271 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Isosphaera pallida ATCC 43644" 2.34 0.0036 3469.8686759 1144.758 0.000674377107195004 0.00204410015042481 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Magnetospira sp. QH-2" 1.808 0.0028 3469.8686759 1144.758 0.000521057183678875 0.00157937310767865 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Thermobifida cellulosilytica TB100" 1.09 0.0017 3469.8686759 1144.758 0.000314132926001092 0.000952166309385914 "arsM" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Actinobacteria bacterium 13_1_20CM_2_66_18" 20.835 0.0321 3469.8686759 1144.758 0.00600455001214013 0.0182003532624363 "arsM" "AsRG"
