"Gene" "OTU" "phylum" "class" "genus"
"rplB" "rplB_0109" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0140" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0185" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0351" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0461" "Proteobacteria" "Alphaproteobacteria" "Beijerinckia"
"rplB" "rplB_0585" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0805" "Planctomycetes" "Planctomycetia" "Singulisphaera"
"rplB" "rplB_0775" "Actinobacteria" "Actinobacteridae" "Acidothermaceae"
"rplB" "rplB_0947" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1108" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1352" "Firmicutes" "Bacilli" "Bacillus"
"rplB" "rplB_1781" "Proteobacteria" "Alphaproteobacteria" "Beijerinckia"
"rplB" "rplB_1937" "Cyanobacteria" "Stigonematales" NA
"rplB" "rplB_0169" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1153" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_1333" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0770" "Proteobacteria" "Alphaproteobacteria" "Bradyrhizobium"
"rplB" "rplB_0904" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0960" "Proteobacteria" "Alphaproteobacteria" "Sphingomonas"
"rplB" "rplB_1279" "Proteobacteria" "Betaproteobacteria" NA
"rplB" "rplB_0152" "Proteobacteria" "Alphaproteobacteria" "Rhodopseudomonas"
"rplB" "rplB_0636" "Chloroflexi" "Chloroflexia" "Roseiflexaceae"
"rplB" "rplB_0096" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0094" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0072" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0471" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0509" "Proteobacteria" "Alphaproteobacteria" NA
"rplB" "rplB_1147" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_0655" "Actinobacteria" "Actinobacteridae" "Catenulisporaceae"
"rplB" "rplB_0959" "Acidobacteria" "Acidobacteriales" NA
"rplB" "rplB_1301" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0291" "Chloroflexi" "Ktedonobacteria" "Ktedonobacter"
"rplB" "rplB_0121" "Actinobacteria" "Actinobacteridae" "Nocardioidaceae"
"rplB" "rplB_1283" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0232" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_1903" "Firmicutes" "Bacilli" "Alicyclobacillus"
"rplB" "rplB_1254" "Acidobacteria" "Solibacteres" "CandidatusSolibacter"
"rplB" "rplB_0128" "Actinobacteria" "Actinobacteridae" "Streptomycetaceae"
