,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen13,Cen03,Cen12
OTU_0001,0,0,0,0,0.071928707829408,0,0,0.0355089617855935,0,0,0,0,0.0289123451124369
OTU_0002,0.0069848661233993,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0003,0,0,0,0,0.0235518777848504,0,0,0,0,0.0105764145954521,0.0035650623885918,0,0
OTU_0004,0,0,0,0,0,0,0,0,0,0,0.00846702317290553,0,0
OTU_0005,0,0,0,0,0,0,0,0,0,0,0.0035650623885918,0,0
OTU_0006,0,0,0,0,0,0,0.000530222693531283,0,0,0,0.00579322638146168,0,0
OTU_0007,0,0,0,0,0.00127307447485678,0,0.00265111346765642,0,0,0.00317292437863564,0.0196078431372549,0,0
OTU_0008,0,0,0,0,0.00572883513685551,0,0.0137857900318134,0,0,0.0486515071390799,0,0,0
OTU_0009,0,0,0,0,0.0439210693825589,0,0.00503711558854719,0,0,0,0,0,0
OTU_0010,0.00582072176949942,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0011,0,0,0,0,0,0,0,0,0,0,0.0164884135472371,0,0
OTU_0012,0,0,0,0,0,0,0.00371155885471898,0,0,0.00370174510840825,0.0106951871657754,0,0
OTU_0013,0,0,0,0,0,0,0.000795334040296925,0,0,0,0.00445632798573975,0,0
OTU_0014,0,0,0,0,0,0,0,0,0,0,0.0089126559714795,0,0
OTU_0015,0,0,0,0.00174064403829417,0,0,0,0,0,0,0,0.00586756077116513,0
OTU_0016,0,0,0,0,0.0133672819859962,0,0.00238600212089077,0,0,0.00634584875727129,0,0,0
OTU_0017,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0.000838222967309304,0
OTU_0018,0,0,0,0,0,0,0,0,0,0,0.0071301247771836,0,0
OTU_0019,0,0,0,0,0,0,0,0,0,0,0.0089126559714795,0,0
OTU_0020,0,0,0,0.000870322019147084,0.00572883513685551,0,0,0,0,0,0,0,0
