DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL, abundance

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS,#FFFF00,#008000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FFFF00,#FF0000

#field labels
FIELD_LABELS,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen03,Cen12
          
#dataset scale: you can simply set the values where the scale will be drawn
DATASET_SCALE,0.00,0.001, 0.005,0.01,0.015

#yellow #FFFF00
#green #008000
#red #FF0000
LEGEND_TITLE,Classification 
LEGEND_SHAPES,1,1,1
LEGEND_COLORS,#FF0000,#008000,#FFFF00
LEGEND_LABELS,Fire-affected,Recovered,Reference

DATA
OTU_0001,0,0,0,0.00348128807658834,0,0,0.00371155885471898,0,0,0,0.00251466890192791,0.00229463056447912
OTU_0002,0.00349243306169965,0,0.00490677134445535,0,0,0.00396039603960396,0,0,0,0,0,0
OTU_0003,0,0,0.00196270853778214,0.00174064403829417,0,0,0,0,0,0,0.00251466890192791,0
OTU_0004,0,0,0,0,0.00763844684914067,0,0.00132555673382821,0,0,0,0,0
OTU_0005,0,0,0,0,0,0.00792079207920792,0.00159066808059385,0,0,0,0,0
OTU_0006,0,0,0,0,0.00190961171228517,0.00297029702970297,0,0,0,0.00264410364886304,0,0.00642496558054153
OTU_0007,0,0,0.00588812561334642,0,0,0,0,0,0,0,0,0
OTU_0008,0,0,0,0,0,0.00396039603960396,0.000795334040296925,0,0.00287907869481766,0,0,0
OTU_0009,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0
OTU_0010,0,0,0,0,0,0,0,0,0,0.00158646218931782,0,0
OTU_0011,0,0,0,0,0,0,0,0,0,0.00105764145954521,0,0
OTU_0012,0,0,0,0,0.00127307447485678,0,0,0,0,0.00423056583818086,0,0
OTU_0013,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0
OTU_0014,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0
OTU_0015,0,0,0.00196270853778214,0,0,0.00198019801980198,0,0,0,0,0,0
OTU_0016,0,0.00514579759862779,0,0,0,0,0,0,0,0,0,0
OTU_0017,0,0,0.00196270853778214,0,0,0.00495049504950495,0,0,0,0,0,0
OTU_0018,0,0,0,0,0,0,0,0.000676361176868448,0,0,0,0
OTU_0019,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0
OTU_0020,0,0,0,0,0,0,0.00530222693531283,0,0,0,0,0
OTU_0021,0.00582072176949942,0,0,0,0,0,0,0,0,0,0,0
OTU_0022,0,0.00686106346483705,0,0,0,0,0,0,0,0,0,0
OTU_0023,0.00814901047729918,0,0,0,0,0,0,0,0,0,0,0
OTU_0024,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0
OTU_0025,0,0,0,0.00348128807658834,0,0,0,0,0,0,0,0
OTU_0026,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0
OTU_0027,0,0,0,0,0,0,0,0,0.00287907869481766,0,0,0
OTU_0028,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0
OTU_0029,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0030,0,0,0,0,0,0,0,0,0,0,0,0.000917852225791648
OTU_0031,0,0,0,0.00348128807658834,0,0,0,0,0,0,0,0.00504818724185406
OTU_0032,0,0,0,0.00261096605744125,0,0,0,0,0,0,0,0
OTU_0033,0,0,0,0,0,0,0,0,0,0,0,0.00321248279027077
OTU_0034,0,0,0,0,0,0,0,0,0,0,0,0.00642496558054153
OTU_0035,0,0,0,0.00435161009573542,0,0,0,0,0,0,0,0
OTU_0036,0,0,0,0,0,0,0.00106044538706257,0,0,0,0,0
OTU_0037,0,0,0,0,0,0,0,0,0.00767754318618042,0,0,0
OTU_0038,0,0,0.00392541707556428,0,0,0.00396039603960396,0,0,0,0,0,0
OTU_0039,0,0,0,0,0,0,0.000795334040296925,0,0,0,0,0
OTU_0040,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0
OTU_0041,0,0,0,0.00261096605744125,0,0,0,0,0,0,0,0
OTU_0042,0,0,0,0,0,0,0,0,0,0.00105764145954521,0,0
OTU_0043,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0
OTU_0044,0,0,0,0.00174064403829417,0,0,0,0,0,0,0,0
OTU_0045,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0
OTU_0046,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0
OTU_0047,0,0,0,0,0,0,0,0,0.00671785028790787,0,0,0
OTU_0048,0,0,0,0,0,0,0.00159066808059385,0,0,0,0,0
OTU_0049,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0
OTU_0050,0,0,0,0,0,0,0,0,0.0115163147792706,0,0,0
OTU_0051,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0052,0,0,0,0.00348128807658834,0,0,0,0,0,0,0,0
OTU_0053,0,0,0,0,0,0,0,0,0,0.00158646218931782,0,0
OTU_0054,0,0,0,0,0,0,0,0,0.00383877159309021,0,0,0
OTU_0055,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0
OTU_0056,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0
OTU_0057,0,0,0,0,0,0,0.00106044538706257,0,0,0,0,0
OTU_0058,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0
OTU_0059,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0
OTU_0060,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0061,0,0,0,0,0,0,0,0.00169090294217112,0,0,0,0
OTU_0062,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0
OTU_0063,0,0,0,0,0,0,0,0,0.00191938579654511,0,0,0
OTU_0064,0,0,0,0,0,0,0.00265111346765642,0,0,0,0,0
OTU_0065,0.00465657741559953,0,0,0,0,0,0,0,0,0,0,0
OTU_0066,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0067,0,0,0,0,0,0,0,0,0,0,0,0.00504818724185406
OTU_0068,0,0,0,0,0,0,0,0,0,0.00105764145954521,0,0
OTU_0069,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0070,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0
OTU_0071,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0
OTU_0072,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0
OTU_0073,0,0,0,0.00609225413402959,0,0,0,0,0,0,0,0
OTU_0074,0,0,0,0.00261096605744125,0,0,0,0,0,0,0,0
OTU_0075,0,0,0,0,0,0,0.00132555673382821,0,0,0,0,0
OTU_0076,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0
OTU_0077,0,0,0,0,0,0,0,0,0.00767754318618042,0,0,0
OTU_0078,0,0,0,0,0,0,0,0,0.000959692898272553,0,0,0
OTU_0079,0,0,0,0,0,0,0,0,0.00287907869481766,0,0,0
OTU_0080,0,0,0.00392541707556428,0,0,0,0,0,0,0,0,0
OTU_0081,0,0,0,0,0,0,0,0,0.00191938579654511,0,0,0
OTU_0082,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0083,0,0,0,0,0,0,0.00212089077412513,0,0,0,0,0
OTU_0084,0,0,0,0,0,0,0,0,0.00287907869481766,0,0,0
OTU_0085,0,0,0,0.00174064403829417,0,0,0,0,0,0,0,0
OTU_0086,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0
OTU_0087,0,0,0,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0088,0,0,0,0,0,0.00693069306930693,0,0,0,0,0,0
OTU_0089,0,0,0,0,0,0,0,0,0,0,0.00419111483654652,0
OTU_0090,0,0,0,0,0.00127307447485678,0,0,0,0,0,0,0
OTU_0091,0,0,0,0,0,0.00297029702970297,0,0,0,0,0,0
OTU_0092,0,0,0,0,0,0,0,0,0,0,0.00251466890192791,0
OTU_0093,0,0,0,0,0,0,0,0,0,0,0.00251466890192791,0
