LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
S71932.1.gene1.p01, Serratia_marcescens (S71932.1.gene1.p01)
M63556.1.gene1.p01, Bacteroides_fragilis (M63556.1.gene1.p01)
AY339625.2.gene14.p01, Escherichia_coli (AY339625.2.gene14.p01)
AY341249.gene.p01, Pseudomonas_aeruginosa (AY341249.gene.p01)
M11189.1.gene1.p1, Bacillus_cereus (M11189.1.gene1.p1)
HQ451074.1.gene14.p01, Escherichia_coli (HQ451074.1.gene14.p01)
AF219127.1.gene1.p1, Chryseobacterium_indologenes (AF219127.1.gene1.p1)
AF219130.1.gene1.p1, Chryseobacterium_indologenes (AF219130.1.gene1.p1)
AB529520.1.gene1.p01, Chryseobacterium_indologenes (AB529520.1.gene1.p01)
AF099139.1.gene1.p01, Chryseobacterium_indologenes (AF099139.1.gene1.p01)
AF219131.2.gene1.p2, Chryseobacterium_indologenes (AF219131.2.gene1.p2)
AY504627.1.gene1.p1, Chryseobacterium_indologenes (AY504627.1.gene1.p1)
AM087455.2.gene1.p01, Chryseobacterium_indologenes (AM087455.2.gene1.p01)
AF219135.2.gene1.p2, Chryseobacterium_indologenes (AF219135.2.gene1.p2)
AY348326.1.gene1.p01, Elizabethkingia_meningoseptica (AY348326.1.gene1.p01)
AB074433.1.gene1.p01, Pseudomonas_aeruginosa (AB074433.1.gene1.p01)
DQ522237.1.gene3.p01, Pseudomonas_aeruginosa (DQ522237.1.gene3.p01)
EU541448.1.gene1.p01, Pseudomonas_aeruginosa (EU541448.1.gene1.p01)
AB074436.1.gene1.p01, Acinetobacter_baumannii (AB074436.1.gene1.p01)
AB204557.1.gene1.p01, Pseudomonas_aeruginosa (AB204557.1.gene1.p01)
AB196988.1.gene1.p01, Pseudomonas_aeruginosa (AB196988.1.gene1.p01)
AJ243491.gene.p01, Acinetobacter_baumannii (AJ243491.gene.p01)
AY144612.1.gene1.p01, Klebsiella_pneumoniae (AY144612.1.gene1.p01)
EF192154.1.gene1.p01, Serratia_marcescens (EF192154.1.gene1.p01)
AF322577.2.gene2.p01, Klebsiella_pneumoniae (AF322577.2.gene2.p01)
HM750249.1.gene1.p01, Proteus_mirabilis (HM750249.1.gene1.p01)
EF118171.1.gene4.p01, Aeromonas_caviae (EF118171.1.gene4.p01)
FJ822963.1.gene1.p01, Escherichia_coli (FJ822963.1.gene1.p01)
DQ143913.1.gene4.p01, Klebsiella_pneumoniae (DQ143913.1.gene4.p01)
AF290912.1.gene1.p01, Acinetobacter_baumannii (AF290912.1.gene1.p01)
FR748153.1.gene2.p01, Klebsiella_pneumoniae (FR748153.1.gene2.p01)
AJ704863.gene9.p01, Klebsiella_pneumoniae (AJ704863.gene9.p01)
AY635904.1.gene1.p01, Pseudomonas_aeruginosa (AY635904.1.gene1.p01)
AF318077.1.gene2.p01, Pseudomonas_aeruginosa (AF318077.1.gene2.p01)
EU419746.1.gene1.p01, Pseudomonas_aeruginosa (EU419746.1.gene1.p01)
GQ242167.1.gene1.p01, Enterobacter_cloacae (GQ242167.1.gene1.p01)
JN596991.2.gene2.p01, Pseudomonas_aeruginosa (JN596991.2.gene2.p01)
AY165025.1.gene1.p01, Pseudomonas_putida (AY165025.1.gene1.p01)
AF369871.gene.p01, Acinetobacter_pittii (AF369871.gene.p01)
AY605049.2.gene1.p01, Pseudomonas_aeruginosa (AY605049.2.gene1.p01)
AF300454.1.gene1.p01, Pseudomonas_aeruginosa (AF300454.1.gene1.p01)
EU419745.1.gene1.p01, Pseudomonas_aeruginosa (EU419745.1.gene1.p01)
HM855205.1.gene1.p01, Klebsiella_pneumoniae (HM855205.1.gene1.p01)
DQ365886.1.gene1.p01, Pseudomonas_aeruginosa (DQ365886.1.gene1.p01)
AJ536835.1.gene1.p01, Pseudomonas_aeruginosa (AJ536835.1.gene1.p01)
AJ584652.2.gene3.p01, Pseudomonas_aeruginosa (AJ584652.2.gene3.p01)
AY524989.1.gene1.p01, Pseudomonas_aeruginosa (AY524989.1.gene1.p01)
AJ420864.1.gene1.p01, Pseudomonas_putida (AJ420864.1.gene1.p01)
GU045307.1.gene1.p1, Pseudomonas_aeruginosa (GU045307.1.gene1.p1)
AY524987.1.gene1.p01, Pseudomonas_aeruginosa (AY524987.1.gene1.p01)
AY524988.1.gene1.p01, Pseudomonas_aeruginosa (AY524988.1.gene1.p01)
AY033653.3.gene6.p01, Pseudomonas_aeruginosa (AY033653.3.gene6.p01)
AY553332.1.gene1.p01, Pseudomonas_aeruginosa (AY553332.1.gene1.p01)
DQ361087.2.gene1.p01, Pseudomonas_fluorescens (DQ361087.2.gene1.p01)
AF244145.1.gene1.p01, Acinetobacter_baumannii (AF244145.1.gene1.p01)
AM778091.1.gene1.p01, Pseudomonas_aeruginosa (AM778091.1.gene1.p01)
AJ550807.1.gene4.p01, Pseudomonas_aeruginosa (AJ550807.1.gene4.p01)
AY553333.1.gene1.p01, Pseudomonas_aeruginosa (AY553333.1.gene1.p01)
JN129451.1.gene1.p01, Pseudomonas_aeruginosa (JN129451.1.gene1.p01)
JF703135.1.gene1.p1, Acinetobacter_baumannii (JF703135.1.gene1.p1)
HQ858608.1.gene1.p01, Klebsiella_pneumoniae (HQ858608.1.gene1.p01)
JF900599.1.gene1.p01, Pseudomonas_aeruginosa (JF900599.1.gene1.p01)
JF894248.1.gene1.p1, Proteus_mirabilis (JF894248.1.gene1.p1)
JN848782.1.gene1.p01, Pseudomonas_aeruginosa (JN848782.1.gene1.p01)
HQ438058.1.gene1.p01, Pseudomonas_aeruginosa (HQ438058.1.gene1.p01)
X75074.1.gene1.p1, Stenotrophomonas_maltophilia (X75074.1.gene1.p1)
Y17896.1.gene1.p01, Fluoribacter_gormanii (Y17896.1.gene1.p01)
JN104597.1.gene1.p01, Escherichia_coli (JN104597.1.gene1.p01)
gi|489069302|ref|WP_002979282.1|, Chryseobacterium_gleum (gi|489069302|ref|WP_002979282.1|)
gi|30172763|sp|O08498.1|BLAB1_ELIME, Precursor (gi|30172763|sp|O08498.1|BLAB1_ELIME)
gi|126571819|gb|ABO21411.1|, Chryseobacterium_indologenes (gi|126571819|gb|ABO21411.1|)
gi|146301227|ref|YP_001195818.1|, Flavobacterium_johnsoniae_UW101 (gi|146301227|ref|YP_001195818.1|)
gi|23451048|gb|AAN32638.1|AF416700_1, Empedobacter_brevis (gi|23451048|gb|AAN32638.1|AF416700_1)
gi|493302263|ref|WP_006259855.1|, Myroides_odoratimimus (gi|493302263|ref|WP_006259855.1|)
gi|489078109|ref|WP_002988050.1|, Myroides (gi|489078109|ref|WP_002988050.1|)
gi|484868360|ref|YP_007888628.1|, Enterobacter_cloacae (gi|484868360|ref|YP_007888628.1|)
gi|516512614|ref|WP_017901052.1|, Klebsiella_pneumoniae (gi|516512614|ref|WP_017901052.1|)
gi|158392670|dbj|BAF91108.1|, Citrobacter_freundii (gi|158392670|dbj|BAF91108.1|)
gi|291278192|gb|ADD91577.1|, Pseudomonas_stutzeri (gi|291278192|gb|ADD91577.1|)
gi|126571823|gb|ABO21413.1|, Chryseobacterium_indologenes (gi|126571823|gb|ABO21413.1|)
gi|300510842|gb|ADK25051.1|, Chryseobacterium_indologenes (gi|300510842|gb|ADK25051.1|)
gi|126571825|gb|ABO21414.1|, Chryseobacterium_indologenes (gi|126571825|gb|ABO21414.1|)
gi|300510840|gb|ADK25050.1|, Chryseobacterium_indologenes (gi|300510840|gb|ADK25050.1|)
gi|302357574|dbj|BAJ14288.1|, Chryseobacterium_indologenes (gi|302357574|dbj|BAJ14288.1|)
gi|270266458|gb|ACZ65151.1|, Chryseobacterium_indologenes (gi|270266458|gb|ACZ65151.1|)
gi|300863227|gb|ADK38716.1|, Chryseobacterium_indologenes (gi|300863227|gb|ADK38716.1|)
gi|270266460|gb|ACZ65152.1|, Chryseobacterium_indologenes (gi|270266460|gb|ACZ65152.1|)
gi|270266462|gb|ACZ65153.1|, Chryseobacterium_indologenes (gi|270266462|gb|ACZ65153.1|)
gi|281021929|gb|ADA13241.1|, Chryseobacterium_indologenes (gi|281021929|gb|ADA13241.1|)
gi|126571827|gb|ABO21415.1|, Chryseobacterium_indologenes (gi|126571827|gb|ABO21415.1|)
gi|489085802|ref|WP_002995710.1|, Sphingobacterium_spiritivorum (gi|489085802|ref|WP_002995710.1|)
gi|126571833|gb|ABO21418.1|, Elizabethkingia_meningoseptica (gi|126571833|gb|ABO21418.1|)
gi|30172956|sp|Q9K303.1|BLAB3_ELIME, Precursor (gi|30172956|sp|Q9K303.1|BLAB3_ELIME)
gi|30172971|sp|Q9RB01.1|BLAB2_ELIME, Precursor (gi|30172971|sp|Q9RB01.1|BLAB2_ELIME)
gi|126571837|gb|ABO21420.1|, Elizabethkingia_meningoseptica (gi|126571837|gb|ABO21420.1|)
gi|30172962|sp|Q9KJA9.1|BLAB5_ELIME, Precursor (gi|30172962|sp|Q9KJA9.1|BLAB5_ELIME)
gi|148533499|gb|ABQ84947.1|, Elizabethkingia_meningoseptica (gi|148533499|gb|ABQ84947.1|)
gi|30172963|sp|Q9KJB0.1|BLAB6_ELIME, Precursor (gi|30172963|sp|Q9KJB0.1|BLAB6_ELIME)
gi|33772768|gb|AAQ54753.1|, Elizabethkingia_meningoseptica (gi|33772768|gb|AAQ54753.1|)
gi|148533501|gb|ABQ84948.1|, Elizabethkingia_meningoseptica (gi|148533501|gb|ABQ84948.1|)
gi|30172960|sp|Q9KJA7.1|BLAB8_ELIME, Precursor (gi|30172960|sp|Q9KJA7.1|BLAB8_ELIME)
