DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL, abundance

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS,#FFFF00,#008000,#FFFF00,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FFFF00,#FF0000

#field labels
FIELD_LABELS,Cen04,Cen17,Cen05,Cen06,Cen07,Cen16,Cen10,Cen01,Cen13,Cen03,Cen12

#dataset scale: you can simply set the values where the scale will be drawn
DATASET_SCALE,0.00,0.002,0.005,0.01

#yellow #FFFF00
#green #008000
#red #FF0000
LEGEND_TITLE,Classification 
LEGEND_SHAPES,1,1,1
LEGEND_COLORS,#FF0000,#008000,#FFFF00
LEGEND_LABELS,Fire-affected,Recovered,Reference

DATA
aioA0001,0.00116414435389988,0,0.00196270853778214,0,0.00198019801980198,0.00212089077412513,0,0.00191938579654511,0,0,0
aioA0002,0.00582072176949942,0,0,0,0,0,0,0,0,0,0
aioA0003,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
aioA0004,0.00232828870779977,0,0,0,0,0,0,0,0,0,0
aioA0005,0,0.00514579759862779,0,0,0,0,0,0,0,0,0
aioA0006,0,0,0.0098135426889107,0,0,0,0,0,0,0,0
aioA0007,0,0,0.00392541707556428,0,0,0,0,0,0,0,0
aioA0008,0.00349243306169965,0,0,0,0,0,0,0.00287907869481766,0,0,0
aioA0009,0,0,0,0,0,0.000265111346765642,0,0,0,0.00251466890192791,0
aioA0010,0,0,0.00098135426889107,0,0.00297029702970297,0.00185577942735949,0,0,0,0,0
aioA0011,0,0,0,0,0,0,0,0.00191938579654511,0,0,0
aioA0012,0,0,0,0,0,0,0,0,0,0,0.000917852225791648
aioA0013,0,0,0.00196270853778214,0,0,0,0,0,0,0,0
aioA0014,0,0,0.00196270853778214,0,0,0,0,0,0,0,0
aioA0015,0,0,0.00294406280667321,0,0,0,0,0.00383877159309021,0,0,0
aioA0016,0,0,0.00490677134445535,0,0,0,0,0,0,0.00167644593461861,0
aioA0017,0,0,0,0,0,0.00795334040296925,0,0,0,0,0
aioA0018,0,0,0,0,0,0,0,0,0.00980392156862745,0,0
aioA0019,0,0,0.00196270853778214,0,0,0,0,0,0,0,0
aioA0020,0,0,0,0,0,0,0,0,0.00623885918003565,0,0
aioA0021,0,0,0.00392541707556428,0,0,0,0,0,0,0,0
aioA0022,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
aioA0023,0,0,0,0,0,0,0,0.000959692898272553,0,0.00167644593461861,0
aioA0024,0,0,0,0,0,0,0.00439634764964491,0,0,0,0
aioA0025,0,0,0.00098135426889107,0,0.00396039603960396,0,0,0,0,0,0
aioA0026,0.00232828870779977,0,0,0,0,0,0,0.00383877159309021,0,0,0
aioA0027,0,0,0.00098135426889107,0.00261096605744125,0,0,0,0,0,0,0
aioA0028,0,0,0.00196270853778214,0.00348128807658834,0,0,0,0,0,0,0
aioA0029,0,0,0.00490677134445535,0,0,0,0,0,0,0,0
aioA0030,0,0,0,0,0,0,0,0,0.00757575757575758,0,0
aioA0031,0,0,0,0,0.00198019801980198,0,0,0.00191938579654511,0,0,0
aioA0032,0,0,0,0,0.00198019801980198,0,0,0,0,0,0
aioA0033,0,0,0,0.00174064403829417,0,0,0,0,0,0,0
aioA0034,0.00232828870779977,0,0,0,0,0,0,0,0,0,0
aioA0035,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
aioA0036,0,0,0,0,0,0,0,0,0.00623885918003565,0,0
aioA0037,0,0,0,0,0,0,0.000676361176868448,0,0,0,0
aioA0038,0,0,0.00294406280667321,0,0,0,0,0,0,0,0
aioA0039,0,0,0,0,0,0,0,0,0.00089126559714795,0,0
aioA0040,0,0,0,0,0,0,0,0,0.00133689839572193,0,0
aioA0041,0,0,0,0,0,0,0,0,0.00846702317290553,0,0
aioA0042,0,0,0.00098135426889107,0,0,0,0,0,0,0,0
aioA0043,0,0,0,0,0,0,0.0013527223537369,0,0,0,0
aioA0044,0,0,0,0,0,0,0,0,0.0017825311942959,0,0
aioA0045,0,0,0,0,0,0,0,0,0.00089126559714795,0,0
aioA0046,0,0,0,0.00174064403829417,0,0,0,0,0,0,0
aioA0047,0.00232828870779977,0,0,0,0,0,0,0,0,0,0
aioA0048,0,0,0,0,0,0,0,0,0.00089126559714795,0,0
aioA0049,0,0,0,0,0,0,0,0,0.00133689839572193,0,0
aioA0050,0.00232828870779977,0,0,0,0,0,0,0,0,0,0
aioA0051,0.00116414435389988,0,0,0,0,0,0,0,0,0,0
aioA0052,0,0,0,0,0,0,0,0,0.00267379679144385,0,0
aioA0053,0,0,0,0,0,0,0,0,0.00267379679144385,0,0
aioA0054,0,0,0,0,0,0,0.00101454176530267,0,0,0,0
aioA0055,0,0,0,0,0.00198019801980198,0,0,0,0,0,0
aioA0056,0,0,0.00098135426889107,0,0,0,0,0,0,0,0
aioA0057,0,0,0,0,0,0,0,0,0.00133689839572193,0,0
arrA0001,0,0,0,0,0,0,0,0,0.0106951871657754,0,0
arrA0002,0,0,0,0,0,0,0,0,0.00623885918003565,0,0
arrA0003,0,0,0,0,0,0,0,0,0.00267379679144385,0,0
arrA0004,0,0,0,0,0,0,0,0,0.0017825311942959,0,0
arrA0005,0,0,0,0,0,0,0,0,0.0017825311942959,0,0
arrA0006,0,0,0,0,0,0,0,0,0.00267379679144385,0,0
arrA0007,0,0,0,0,0,0,0,0,0.0017825311942959,0,0
arrA0008,0,0,0,0,0,0,0,0,0.00133689839572193,0,0
arrA0009,0,0,0,0,0,0,0,0,0.00579322638146168,0,0
arxA0001,0,0,0,0,0,0,0,0,0.0102495543672014,0,0
arxA0002,0,0,0,0,0,0,0,0,0.00222816399286988,0,0
arxA0003,0,0,0,0,0,0,0,0,0.00267379679144385,0,0
arxA0004,0,0,0,0,0,0,0,0,0.0017825311942959,0,0
arxA0005,0,0,0,0,0,0,0,0,0.00623885918003565,0,0
arxA0006,0,0,0,0,0,0,0,0,0.00668449197860963,0,0
arxA0007,0,0,0,0,0,0,0,0,0.00757575757575758,0,0
arxA0008,0,0,0,0,0,0,0,0,0.00222816399286988,0,0
arxA0009,0,0,0,0,0,0,0,0,0.00133689839572193,0,0
arxA0010,0,0,0,0,0,0,0,0,0.0017825311942959,0,0
arxA0011,0,0,0,0,0,0,0,0,0.0017825311942959,0,0
arxA0012,0,0,0,0,0,0,0,0,0.00133689839572193,0,0
