LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
U92041.1.gene1.p01, Escherichia_coli (U92041.1.gene1.p01)
U20270.1.gene1.p01, Escherichia_coli (U20270.1.gene1.p01)
AF250872.1.gene1.p1, Proteus_mirabilis (AF250872.1.gene1.p1)
AY027590.1.gene1.p1, Klebsiella_pneumoniae (AY027590.1.gene1.p1)
AY039040.1.gene1.p01, Proteus_mirabilis (AY039040.1.gene1.p01)
AF351241.1.gene1.p01, Escherichia_coli (AF351241.1.gene1.p01)
AF427129.1.gene1.p01, Escherichia_coli (AF427129.1.gene1.p01)
AF427130.1.gene1.p01, Escherichia_coli (AF427130.1.gene1.p01)
AJ277414.1.gene1.p01, Klebsiella_pneumoniae (AJ277414.1.gene1.p01)
AJ277415.1.gene1.p01, Klebsiella_pneumoniae (AJ277415.1.gene1.p01)
AB049569.1.gene1.p01, Escherichia_coli (AB049569.1.gene1.p01)
DQ054528.1.gene1.p01, Klebsiella_pneumoniae (DQ054528.1.gene1.p01)
AF208796.2.gene1.p01, Klebsiella_pneumoniae (AF208796.2.gene1.p01)
EU684753.1.gene1.p01, Acinetobacter_baumannii (EU684753.1.gene1.p01)
CP000647.1.gene1607.p01, Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578 (CP000647.1.gene1607.p01)
AJ920369.1.gene1.p01, Escherichia_coli (AJ920369.1.gene1.p01)
AF164577.1.gene1.p01, Klebsiella_pneumoniae (AF164577.1.gene1.p01)
AF226622.1.gene1.p01, Klebsiella_pneumoniae (AF226622.1.gene1.p01)
GU932590.1.gene1.p1, Enterobacter_cloacae (GU932590.1.gene1.p1)
AB551737.1.gene1.p01, Klebsiella_pneumoniae (AB551737.1.gene1.p01)
GU827715.1.gene1.p01, Escherichia_coli (GU827715.1.gene1.p01)
AY661885.1.gene1.p01, Enterobacter_cloacae (AY661885.1.gene1.p01)
HM559945.1.gene1.p01, Klebsiella_pneumoniae (HM559945.1.gene1.p01)
