,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen13,Cen03,Cen12
OTU_0001,0.00116414435389988,0,0.00686947988223749,0.00261096605744125,0,0.0118811881188119,0,0,0,0,0,0.00251466890192791,0
OTU_0002,0.00465657741559953,0,0,0,0,0,0,0,0,0,0,0.00335289186923722,0
OTU_0003,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0,0
OTU_0004,0.00116414435389988,0,0,0,0,0.00297029702970297,0,0,0,0,0,0,0
OTU_0005,0,0,0,0,0.0184595798854233,0,0,0,0,0,0,0,0.00367140890316659
OTU_0006,0,0,0,0,0,0,0,0,0,0,0,0,0.018357044515833
OTU_0007,0,0,0.00098135426889107,0,0,0,0,0,0.064299424184261,0,0,0,0
OTU_0008,0,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0009,0,0,0.00392541707556428,0,0,0,0,0,0,0,0,0,0
OTU_0010,0.0162980209545984,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0011,0,0,0,0,0.00572883513685551,0,0.000530222693531283,0,0,0.014806980433633,0,0,0
OTU_0012,0,0,0,0,0.011457670273711,0,0,0,0,0,0,0,0.00688389169343736
OTU_0013,0.00232828870779977,0,0,0,0,0.0207920792079208,0,0,0,0,0,0,0
OTU_0014,0.00582072176949942,0,0,0.00174064403829417,0,0,0,0,0,0,0,0.00251466890192791,0
OTU_0015,0,0,0,0,0.00318268618714195,0,0,0,0,0.00264410364886304,0,0,0
OTU_0016,0,0,0,0,0.00254614894971356,0,0,0,0,0,0,0,0
OTU_0017,0,0,0,0,0,0,0.000795334040296925,0,0,0,0,0,0
OTU_0018,0,0,0.00392541707556428,0,0,0.00594059405940594,0,0,0,0,0,0.00167644593461861,0
OTU_0019,0,0,0,0.000870322019147084,0,0,0,0,0,0,0,0.00419111483654652,0
OTU_0020,0,0,0,0,0.00509229789942712,0,0,0,0,0.00264410364886304,0,0,0
OTU_0021,0,0,0,0,0,0,0,0,0.00671785028790787,0,0,0,0
OTU_0022,0,0,0.00392541707556428,0,0,0,0,0,0,0,0,0,0
OTU_0023,0,0,0,0,0,0,0,0.0415962123774095,0,0,0,0,0.00229463056447912
OTU_0024,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0025,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0
OTU_0026,0.00465657741559953,0,0,0,0,0,0,0,0.00191938579654511,0,0,0,0
OTU_0027,0,0,0,0,0,0,0.00185577942735949,0,0.00575815738963532,0,0,0,0
OTU_0028,0,0,0,0,0.00763844684914067,0,0,0,0,0.00317292437863564,0,0,0
OTU_0029,0,0,0,0,0,0,0.000795334040296925,0,0,0,0,0,0
OTU_0030,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0031,0,0,0,0.00261096605744125,0.00190961171228517,0.00198019801980198,0,0,0,0,0,0,0
OTU_0032,0,0,0,0,0.00254614894971356,0,0,0,0,0,0,0,0.000458926112895824
OTU_0033,0.00349243306169965,0,0,0,0,0.00396039603960396,0,0,0,0,0,0,0
OTU_0034,0,0,0,0,0,0,0.00185577942735949,0,0,0,0,0,0
OTU_0035,0,0,0,0,0,0,0,0,0.00671785028790787,0,0,0,0
OTU_0036,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0037,0,0,0,0,0,0,0,0,0,0,0,0,0.00367140890316659
OTU_0038,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0.00251466890192791,0
OTU_0039,0,0,0,0,0,0,0,0,0,0.01216287678477,0,0,0.00137677833868747
OTU_0040,0,0,0,0,0,0,0.00371155885471898,0,0,0.00105764145954521,0,0,0
OTU_0041,0,0,0,0,0,0,0,0,0.00191938579654511,0,0,0,0
OTU_0042,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0043,0,0,0,0.00783289817232376,0,0,0,0,0,0,0,0,0
OTU_0044,0,0,0,0,0,0,0,0,0.0124760076775432,0,0,0,0
OTU_0045,0,0,0,0.00435161009573542,0,0,0,0,0,0,0,0,0
OTU_0046,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0047,0,0,0,0,0,0,0,0,0.00191938579654511,0,0,0,0
OTU_0048,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0,0
OTU_0049,0,0,0,0,0,0,0,0,0,0,0,0,0.0018357044515833
OTU_0050,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0,0
