COGID	C01	C03	C04	C05	C06	C07	C10	C12	C14	C15	C16	C17	Func_name
COG0001	16895	20695	20944	19576	14704	14717	27093	14827	19174	12786	35084	19565	Glutamate-1-semialdehyde aminotransferase
COG0002	7374	8516	8366	8360	6329	6052	14264	6625	7986	6044	15061	6880	N-acetyl-gamma-glutamylphosphate reductase
COG0003	5095	5284	5641	4546	3356	3702	10866	3598	6541	4363	12042	4463	"Anion-transporting ATPase, ArsA/GET3 family"
COG0004	11353	17165	15039	15800	11964	12038	17789	8741	11088	9134	26258	18492	Ammonia channel protein AmtB
COG0005	7477	8588	8939	9042	6753	6928	11014	8554	8052	6233	16245	7651	Purine nucleoside phosphorylase
COG0006	23666	30300	29014	26910	21140	22206	50142	32410	37677	20452	64792	24298	Xaa-Pro aminopeptidase
COG0007	6278	6388	5915	6444	4831	4810	11143	5491	5928	4676	13026	5486	Uroporphyrinogen-III methylase (siroheme synthase)
COG0008	14783	19825	20309	20653	14919	15880	21849	12639	14549	10941	34097	20800	Glutamyl- or glutaminyl-tRNA synthetase
COG0009	5504	6888	6139	7136	5156	5606	12394	6574	6626	5324	13639	4861	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC
COG0010	11021	10830	11366	10354	8137	8186	19303	11750	13141	8526	20407	10600	Arginase family enzyme
COG0011	461	580	395	429	373	346	2792	641	1311	529	1002	287	"Uncharacterized conserved protein YqgV, UPF0045/DUF77 family"
COG0012	7663	9622	9391	9870	6581	8124	16655	6498	9258	6653	16189	9749	"Ribosome-binding ATPase YchF, GTP1/OBG family"
COG0013	16347	20753	21248	21840	14675	16584	20696	13188	14106	11145	31708	21680	Alanyl-tRNA synthetase
COG0014	4529	6572	5684	6075	5058	4431	4984	5351	2834	3683	10515	4982	Gamma-glutamyl phosphate reductase
COG0015	11608	14165	13642	14048	10210	10465	17960	9451	9491	7775	23403	13533	Adenylosuccinate lyase
COG0016	7016	8820	8546	8875	6227	7206	14035	6378	7426	5658	15263	7945	Phenylalanyl-tRNA synthetase alpha subunit
COG0017	5720	6545	6968	6825	5436	5317	12543	5660	7769	5653	10409	6466	Aspartyl/asparaginyl-tRNA synthetase
COG0018	9993	12328	13066	13047	8381	10259	17125	8020	10140	7228	20483	12115	Arginyl-tRNA synthetase
COG0019	9769	13250	11446	13038	9858	9780	17371	8640	8569	8288	22589	11345	Diaminopimelate decarboxylase
COG0020	7478	9507	8624	9573	7119	6843	15746	8149	8683	6728	14950	8130	Undecaprenyl pyrophosphate synthase
COG0021	13279	17974	18614	18693	12633	14128	17561	10017	9776	9026	24034	16611	Transketolase
COG0022	21101	24451	25605	22909	16385	18224	33212	19490	22250	15503	46198	23935	"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component"
COG0023	662	619	479	643	642	512	5398	1213	2949	1141	1331	745	Translation initiation factor 1 (eIF-1/SUI1)
COG0024	8383	9557	8877	9415	6864	7321	12549	7091	7604	5631	15769	7923	Methionine aminopeptidase
COG0025	3866	5129	4024	4205	4693	4071	9963	4501	5358	3785	9563	6356	NhaP-type Na+/H+ or K+/H+ antiporter
COG0026	4279	4884	3645	5034	4289	3558	7002	3753	3177	3753	7777	3761	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
COG0027	767	760	605	693	684	537	295	221	458	468	1524	926	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
COG0028	45088	61774	60194	60083	47257	45994	74443	37569	40527	31983	105534	49257	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0029	7488	9139	9225	8296	6632	6812	11696	4725	6761	5086	15823	11278	Aspartate oxidase
COG0030	7842	9644	8306	8609	6735	7329	14967	6735	8305	6877	19359	7813	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)
COG0031	17411	20625	21073	20519	15688	16068	26799	14797	17684	12971	34335	21569	Cysteine synthase
COG0033	3632	6239	6005	6884	4080	4111	3346	3103	2330	2312	5362	5861	Phosphoglucomutase
